id_comunidad,Nombre de Comunidad
0,Andalucía                     
1,Aragón                        
2,Principado de Asturias        
3,Illes Balears                 
4,Canarias                      
5,Cantabria                     
6,Castilla - La Mancha          
7,Castilla y León               
8,Catalunya                     
9,Extremadura                   
10,Galicia                       
11,Comunidad de Madrid           
12,Comunidad Foral de Navarra    
13,País Vasco                    
14,Región de Murcia              
15,La Rioja                      
16,Comunitat Valenciana          
17,Ciudad de Ceuta               
18,Ciudad de Melilla             
