,id_provincia,año,Partidos,Votos
0,1,2024,VOX,4953
1,2,2024,VOX,17717
2,3,2024,VOX,75219
3,4,2024,VOX,32885
4,5,2024,VOX,8282
5,6,2024,VOX,25027
6,7,2024,VOX,35644
7,8,2024,VOX,109723
8,9,2024,VOX,15259
9,10,2024,VOX,15921
10,11,2024,VOX,42127
11,12,2024,VOX,26993
12,13,2024,VOX,22405
13,14,2024,VOX,30672
14,15,2024,VOX,20262
15,16,2024,VOX,10116
16,17,2024,VOX,12159
17,18,2024,VOX,39808
18,19,2024,VOX,14950
19,20,2024,VOX,5857
20,21,2024,VOX,16322
21,22,2024,VOX,9661
22,23,2024,VOX,26771
23,24,2024,VOX,19771
24,25,2024,VOX,7209
25,26,2024,VOX,10834
26,27,2024,VOX,5874
27,28,2024,VOX,297513
28,29,2024,VOX,59450
29,30,2024,VOX,82125
30,31,2024,VOX,17258
31,32,2024,VOX,5649
32,33,2024,VOX,42004
33,34,2024,VOX,7785
34,35,2024,VOX,44534
35,36,2024,VOX,16282
36,37,2024,VOX,14730
37,38,2024,VOX,36751
38,39,2024,VOX,25265
39,40,2024,VOX,7111
40,41,2024,VOX,69353
41,42,2024,VOX,3527
42,43,2024,VOX,18733
43,44,2024,VOX,6075
44,45,2024,VOX,38464
45,46,2024,VOX,123905
46,47,2024,VOX,27508
47,48,2024,VOX,12245
48,49,2024,VOX,7409
49,50,2024,VOX,44265
50,51,2024,VOX,3309
51,52,2024,VOX,2594
52,1,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),27000
53,2,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),172
54,3,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),2137
55,4,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),196
56,5,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),102
57,6,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),201
58,7,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),16457
59,8,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),256713
60,9,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),668
61,10,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),206
62,11,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),543
63,12,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),1405
64,13,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),142
65,14,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),179
66,15,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),78624
67,16,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),94
68,17,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),34441
69,18,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),446
70,19,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),255
71,20,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),96351
72,21,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),141
73,22,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),352
74,23,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),123
75,24,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),398
76,25,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),23044
77,26,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),453
78,27,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),17423
79,28,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),7481
80,29,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),531
81,30,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),514
82,31,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),48779
83,32,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),15448
84,33,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),1658
85,34,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),103
86,35,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),897
87,36,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),68515
88,37,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),193
89,38,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),886
90,39,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),825
91,40,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),150
92,41,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),739
93,42,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),67
94,43,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),39936
