TH,Cod.Municipio,AMBITO,Distrito,Sección,Mesa,Censo,Votantes,Nulos,Válidos,Blancos,Votos Cand.,Abstenciones,PSE-PSOE,HB,EB,CDS,PST,PH,PTE-UC,FE-JONS,PORE,PDP,POSI,UCE,F.N.,PNCL-PANCAL,AP,PAR,PED,CIU,BNG,AIC,UV,LA,P.A.,EA...(E87),PNV...(E87),ANEMYA,LV,C.V.,EE...(E87),E.U.,PCV,AS,CSD
ARABA-ÁLAVA,001,ALEGRÍA-DULANTZI,1,1,U,727,542,5,537,7,530,185,143,54,1,25,5,0,2,1,1,0,1,0,1,1,33,1,0,0,0,1,0,0,0,32,175,1,1,4,46,0,0,0,1
ARABA-ÁLAVA,002,AMURRIO,1,1,A,333,197,1,196,0,196,136,6,52,0,1,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,50,47,0,0,1,6,0,0,0,0
ARABA-ÁLAVA,002,AMURRIO,1,1,B,1159,877,4,877,8,869,282,97,146,2,13,1,2,2,0,0,2,0,2,2,1,139,1,0,1,0,0,0,1,0,192,186,1,0,0,70,4,0,0,0
ARABA-ÁLAVA,002,AMURRIO,1,2,A,214,158,1,157,2,155,56,1,47,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,37,56,0,0,0,6,0,0,0,0
ARABA-ÁLAVA,002,AMURRIO,1,2,B,244,167,3,164,0,164,77,3,57,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,29,54,0,1,0,3,0,0,0,0
ARABA-ÁLAVA,002,AMURRIO,1,2,C,892,666,3,663,13,650,226,113,139,0,14,2,0,3,0,0,2,0,0,2,1,41,0,0,1,1,0,0,0,0,141,151,1,0,0,38,0,0,0,0
ARABA-ÁLAVA,002,AMURRIO,1,3,U,745,562,5,557,12,545,183,72,107,1,12,0,0,0,0,1,2,0,0,1,0,71,0,0,0,0,0,2,0,0,109,121,3,4,1,38,0,0,0,0
ARABA-ÁLAVA,002,AMURRIO,1,4,U,950,713,8,707,5,702,237,125,179,1,6,2,1,1,0,0,0,0,1,1,0,45,0,0,0,1,0,0,0,0,147,135,1,1,2,45,1,0,2,1
ARABA-ÁLAVA,002,AMURRIO,1,5,U,854,626,9,617,2,615,228,131,106,0,22,0,2,3,0,0,2,0,0,0,5,61,0,0,0,0,0,0,0,1,130,102,1,1,0,48,0,0,0,0
ARABA-ÁLAVA,002,AMURRIO,1,6,U,632,474,4,470,3,467,158,66,117,1,4,0,0,1,1,0,0,0,1,0,0,46,0,0,0,1,0,0,0,0,102,91,2,1,0,30,0,0,2,1
ARABA-ÁLAVA,002,AMURRIO,1,7,U,907,658,13,645,12,633,249,162,132,0,6,1,0,4,0,0,1,0,1,0,4,52,1,0,0,0,0,0,0,0,107,90,2,6,2,63,0,0,0,1
ARABA-ÁLAVA,003,ARAMAIO,1,1,A,735,564,0,564,7,557,171,1,159,2,2,5,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,247,122,0,2,0,10,0,0,1,0
ARABA-ÁLAVA,003,ARAMAIO,1,1,B,351,262,3,259,1,258,89,5,59,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,107,83,0,0,0,2,0,0,0,0
ARABA-ÁLAVA,004,ARTZINIEGA,1,1,U,854,698,4,694,4,690,156,53,112,0,13,0,0,0,1,0,0,0,0,0,0,152,0,0,0,1,0,0,0,0,27,296,0,6,1,28,0,0,0,0
ARABA-ÁLAVA,006,ARMIÑÓN,1,1,U,128,87,1,86,1,85,41,3,5,1,7,0,0,0,0,0,0,1,0,0,0,27,0,0,0,0,0,0,0,0,2,26,0,2,0,11,0,0,0,0
ARABA-ÁLAVA,008,ARRAZUA-UBARRUNDIA,1,1,U,468,316,7,309,2,307,152,75,22,2,4,0,1,1,0,0,0,0,0,0,0,39,0,1,0,0,0,0,0,0,15,119,0,0,0,28,0,0,0,0
