TH,Cod.Comarca,Cod.Municipio,AMBITO,Censo,Votantes,Nulos,Válidos,Blancos,Votos Cand.,Abstenciones,PSE-PSOE,HB,EB,CDS,PST,PH,PTE-UC,FE-JONS,PORE,PDP,POSI,UCE,F.N.,PNCL-PANCAL,AP,PAR,PED,CIU,BNG,AIC,UV,LA,P.A.,EA...(E87),PNV...(E87),ANEMYA,LV,C.V.,EE...(E87),E.U.,PCV,AS,CSD
ARABA-ÁLAVA,001,059,VITORIA-GASTEIZ,144887,96393,951,95442,1144,94298,48494,23648,12377,704,9136,366,81,601,60,130,580,135,105,207,98,11054,67,44,42,81,43,29,28,35,15809,7864,223,438,261,9366,263,30,266,127
ARABA-ÁLAVA,002,001,ALEGRÍA-DULANTZI,727,543,5,538,7,531,184,143,54,1,25,5,0,2,1,1,0,1,0,1,1,33,1,0,0,0,1,0,0,0,32,175,1,1,4,46,0,0,0,1
ARABA-ÁLAVA,002,003,ARAMAIO,1086,826,3,823,8,815,260,6,218,2,2,5,0,1,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,354,205,0,2,0,12,0,0,1,0
ARABA-ÁLAVA,002,006,ARMIÑÓN,128,87,1,86,1,85,41,3,5,1,7,0,0,0,0,0,0,1,0,0,0,27,0,0,0,0,0,0,0,0,2,26,0,2,0,11,0,0,0,0
ARABA-ÁLAVA,002,008,ARRAZUA-UBARRUNDIA,468,318,7,311,2,309,150,75,22,2,4,0,1,1,0,0,0,0,0,0,0,39,0,1,0,0,0,0,0,0,15,119,0,0,0,28,0,0,0,0
ARABA-ÁLAVA,002,009,ASPARRENA,1269,967,7,960,20,940,302,94,244,2,27,2,2,6,0,3,2,3,2,4,2,38,0,0,1,0,1,0,0,0,75,273,0,9,3,141,4,0,1,1
ARABA-ÁLAVA,002,011,BAÑOS DE EBRO / MAÑUETA,280,220,0,220,2,218,60,20,3,1,0,0,0,0,0,0,0,0,0,0,1,68,0,0,0,0,0,0,1,0,3,109,0,1,0,11,0,0,0,0
ARABA-ÁLAVA,002,013,BARRUNDIA,504,313,3,310,6,304,191,2,54,0,16,1,0,0,0,0,4,0,0,0,0,17,0,0,0,0,0,0,0,0,20,171,0,1,0,18,0,0,0,0
ARABA-ÁLAVA,002,014,BERANTEVILLA,328,236,2,234,4,230,92,13,15,1,6,2,0,0,0,0,2,0,0,0,0,52,0,0,0,0,0,0,0,0,7,113,3,0,1,14,0,0,0,0
ARABA-ÁLAVA,002,016,BERNEDO,496,247,7,240,0,240,249,5,18,0,33,0,1,0,0,0,1,0,0,0,0,58,0,0,0,0,0,0,0,0,5,113,0,1,0,6,0,0,0,0
