TH,Cod.Municipio,AMBITO,Distrito,Sección,Mesa,Censo,Votantes,Nulos,Válidos,Blancos,Votos Cand.,Abstenciones,PSE-PSOE,PP,HB,EB,CDS,EKA,AR,LVE,PH,ARM-ADE,PTE-UC,FE-JONS,PCPE-EHAC,F.N.,UNA,CIU,BNG,LA,P.A.,CSD,EE...(E89),FPR,PNV...(E89),AV-MEC,BACTERIA,PED,EA...(E89),EPV,PST-PORE,PV,IDE,LB
ARABA-ÁLAVA,001,ALEGRÍA-DULANTZI,1,1,U,765,447,10,437,10,427,318,121,32,52,5,20,0,1,6,2,4,3,0,0,0,0,0,0,0,0,3,30,0,109,1,,1,34,2,0,0,0,1
ARABA-ÁLAVA,002,AMURRIO,1,1,A,336,174,3,171,3,168,162,8,10,53,2,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,56,0,,0,31,0,0,0,0,1
ARABA-ÁLAVA,002,AMURRIO,1,1,B,1177,771,9,762,9,753,406,77,106,123,7,12,1,0,2,2,17,1,0,0,0,0,0,0,0,0,4,49,1,170,0,,0,177,0,0,0,0,4
ARABA-ÁLAVA,002,AMURRIO,1,2,A,210,121,3,118,1,117,89,2,3,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,42,0,,0,32,0,1,0,0,0
ARABA-ÁLAVA,002,AMURRIO,1,2,B,246,119,1,118,0,118,127,0,13,41,1,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,3,0,38,0,,0,16,0,0,0,0,0
ARABA-ÁLAVA,002,AMURRIO,1,2,C,938,562,2,560,5,555,376,79,39,113,4,10,0,1,5,0,8,6,0,3,1,0,0,0,0,0,0,28,0,133,0,,0,120,0,0,0,0,0
ARABA-ÁLAVA,002,AMURRIO,1,3,U,770,505,3,502,4,498,265,59,55,88,4,11,0,0,0,0,10,1,0,1,1,0,0,0,0,0,0,30,0,139,0,,0,96,2,1,0,0,0
ARABA-ÁLAVA,002,AMURRIO,1,4,U,1008,650,7,643,4,639,358,108,26,147,6,15,1,0,4,2,11,2,1,1,0,0,0,0,0,0,1,30,0,150,0,,1,126,4,2,0,0,1
ARABA-ÁLAVA,002,AMURRIO,1,5,U,893,556,11,545,8,537,337,118,40,84,8,15,0,0,3,0,8,0,0,2,0,0,1,0,0,1,2,32,0,112,1,,1,108,0,1,0,0,1
ARABA-ÁLAVA,002,AMURRIO,1,6,U,669,437,4,433,4,429,232,77,34,110,1,7,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,30,0,90,1,,0,69,0,0,0,0,6
ARABA-ÁLAVA,002,AMURRIO,1,7,U,946,568,6,562,6,556,378,142,31,97,3,13,0,2,6,1,7,1,1,1,0,0,3,0,0,0,3,39,1,89,1,,0,107,2,2,0,1,3
ARABA-ÁLAVA,003,ARAMAIO,1,1,A,745,465,0,465,4,461,280,4,4,128,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,11,0,100,0,,0,203,1,2,0,0,2
ARABA-ÁLAVA,003,ARAMAIO,1,1,B,354,228,0,228,0,228,126,7,1,58,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,67,0,,0,88,0,1,0,0,0
ARABA-ÁLAVA,004,ARTZINIEGA,1,1,U,885,626,6,620,2,618,259,41,96,107,3,18,0,0,6,0,12,0,0,0,0,0,0,0,0,1,0,18,0,258,1,,0,55,0,0,0,0,2
ARABA-ÁLAVA,006,ARMIÑÓN,1,1,U,126,84,0,84,3,81,42,10,27,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,23,0,,0,1,0,0,0,0,1
ARABA-ÁLAVA,008,ARRAZUA-UBARRUNDIA,1,1,U,503,281,3,278,3,275,222,52,46,23,0,5,0,0,1,0,5,2,0,0,0,0,0,0,1,0,0,27,0,86,0,,0,25,0,0,0,0,2
ARABA-ÁLAVA,009,ASPARRENA,1,1,A,571,373,10,363,10,353,198,39,25,88,3,6,0,0,1,1,2,5,0,0,1,0,0,1,1,0,0,34,1,101,1,,0,36,1,2,0,0,3
ARABA-ÁLAVA,009,ASPARRENA,1,1,B,714,459,11,448,6,442,255,51,34,119,5,16,2,0,7,2,0,2,1,1,0,1,1,0,1,0,3,41,0,115,1,,1,32,2,1,0,1,2
ARABA-ÁLAVA,010,AYALA / AIARA,1,1,A,787,473,2,471,2,469,314,14,100,47,4,4,0,0,2,0,7,0,0,0,0,0,1,0,0,0,0,22,0,164,0,,0,101,0,0,0,0,3
ARABA-ÁLAVA,010,AYALA / AIARA,1,1,B,414,269,4,265,6,259,145,23,66,56,1,2,0,0,0,2,0,0,0,0,1,0,0,0,0,2,2,6,0,48,0,,0,50,0,0,0,0,0
ARABA-ÁLAVA,010,AYALA / AIARA,1,2,U,506,345,2,343,1,342,161,5,36,50,3,4,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,14,0,156,0,,0,66,1,0,0,0,1
ARABA-ÁLAVA,011,BAÑOS DE EBRO / MAÑUETA,1,1,U,289,181,0,181,0,181,108,17,49,1,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,11,0,97,0,,0,0,0,0,0,0,1
ARABA-ÁLAVA,013,BARRUNDIA,1,1,U,502,195,2,193,4,189,307,5,13,23,1,11,1,2,1,0,5,1,0,0,0,0,1,0,0,0,0,7,0,88,2,,0,17,0,0,0,0,1
ARABA-ÁLAVA,014,BERANTEVILLA,1,1,U,339,193,0,190,7,183,146,7,47,14,1,7,0,0,2,0,9,2,0,2,0,0,1,0,0,0,0,12,0,71,0,,1,5,0,0,0,0,2
ARABA-ÁLAVA,016,BERNEDO,1,1,U,512,193,0,193,3,190,319,17,46,19,1,17,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,7,0,69,1,,0,4,0,0,0,0,1
