TH,Cod.Comarca,Cod.Municipio,AMBITO,Censo,Votantes,Nulos,Válidos,Blancos,Votos Cand.,Abstenciones,PSE-PSOE,PP,HB,EB,CDS,EKA,AR,LVE,PH,ARM-ADE,PTE-UC,FE-JONS,PCPE-EHAC,F.N.,UNA,CIU,BNG,LA,P.A.,CSD,EE...(E89),FPR,PNV...(E89),AV-MEC,BACTERIA,PED,EA...(E89),EPV,PST-PORE,PV,IDE,LB
ARABA-ÁLAVA,001,059,VITORIA-GASTEIZ,151679,88329,860,87469,1309,86160,63350,21892,11043,11038,1805,5171,79,68,1323,121,1967,709,77,340,164,55,85,59,53,84,389,9858,95,9604,210,,60,8259,266,221,0,50,787
ARABA-ÁLAVA,002,001,ALEGRÍA-DULANTZI,765,447,10,437,10,427,318,121,32,52,5,20,0,1,6,2,4,3,0,0,0,0,0,0,0,0,3,30,0,109,1,,1,34,2,0,0,0,1
ARABA-ÁLAVA,002,003,ARAMAIO,1099,693,0,693,4,689,406,11,5,186,4,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,14,0,167,0,,0,291,1,3,0,0,2
ARABA-ÁLAVA,002,006,ARMIÑÓN,126,84,0,84,3,81,42,10,27,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,23,0,,0,1,0,0,0,0,1
ARABA-ÁLAVA,002,008,ARRAZUA-UBARRUNDIA,503,281,3,278,3,275,222,52,46,23,0,5,0,0,1,0,5,2,0,0,0,0,0,0,1,0,0,27,0,86,0,,0,25,0,0,0,0,2
ARABA-ÁLAVA,002,009,ASPARRENA,1285,832,21,811,16,795,453,90,59,207,8,22,2,0,8,3,2,7,1,1,1,1,1,1,2,0,3,75,1,216,2,,1,68,3,3,0,1,5
ARABA-ÁLAVA,002,011,BAÑOS DE EBRO / MAÑUETA,289,181,0,181,0,181,108,17,49,1,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,11,0,97,0,,0,0,0,0,0,0,1
ARABA-ÁLAVA,002,013,BARRUNDIA,502,195,2,193,4,189,307,5,13,33,1,11,1,2,1,0,5,1,0,0,0,0,1,0,0,0,0,7,0,88,2,,0,17,0,0,0,0,1
ARABA-ÁLAVA,002,014,BERANTEVILLA,339,193,0,190,7,183,146,7,47,14,1,7,0,0,2,0,9,2,0,2,0,0,1,0,0,0,0,12,0,71,0,,1,5,0,0,0,0,2
ARABA-ÁLAVA,002,016,BERNEDO,512,193,0,193,3,190,319,17,46,19,1,17,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,7,0,69,1,,0,4,0,0,0,0,1
