ELECCIÓN,TH,CODCOM,CODMUN,CIRCUNSCRIPCIÓN,PARTIDO,NOMBRE
"E94,,0,0,ESTADO,CIU,""FERRER CASALS,CONCEPCIO"""
"E94,,0,0,ESTADO,CIU,""GASOLIBA BÉHM,CARLES ALFRED"""
"E94,,0,0,ESTADO,CIU,""VALLVE RIBERA,JOAN MARIA"""
"E94,,0,0,ESTADO,EB,""ARAMBURU DEL RIO,MARIA JESUS"""
"E94,,0,0,ESTADO,EB,""CARNERO GONZALEZ,CARLOS"""
"E94,,0,0,ESTADO,EB,""GONZALEZ ALVAREZ,LAURA"""
"E94,,0,0,ESTADO,EB,""GUTIERREZ DIAZ,ANTONI"""
"E94,,0,0,ESTADO,EB,""JOVE PERES,SALVADOR"""
"E94,,0,0,ESTADO,EB,""MARSET CAMPOS,PEDRO"""
"E94,,0,0,ESTADO,EB,""PUERTA GUTIERREZ,ALONSO JOSE"""
"E94,,0,0,ESTADO,EB,""SIERRA GONZALEZ,ANGELA DEL CARMEN"""
"E94,,0,0,ESTADO,EB,""SORNOSA MARTINEZ,MARIA"""
"E94,,0,0,ESTADO,PNV...(E94),""IMAZ SAN MIGUEL,JOSU JON"""
"E94,,0,0,ESTADO,PNV...(E94),""SANCHEZ GARCIA,ISIDORO"""
"E94,,0,0,ESTADO,PP,""AÑOVEROS TRIAS DE BES,JULIO"""
"E94,,0,0,ESTADO,PP,""AREITIO TOLEDO,JAVIER"""
"E94,,0,0,ESTADO,PP,""ARIAS CAÑETE,MIGUEL"""
"E94,,0,0,ESTADO,PP,""BENNASAR TOUS,FRANCISCA"""
"E94,,0,0,ESTADO,PP,""CAMPOY ZUECO,LUIS"""
"E94,,0,0,ESTADO,PP,""DE LA MERCED MONGE,MERCEDES"""
"E94,,0,0,ESTADO,PP,""DE PALACIO DEL VALLE-LERSUNDI,ANA ISABEL"""
"E94,,0,0,ESTADO,PP,""ESCUDERO LOPEZ,JOSE ANTONIO"""
"E94,,0,0,ESTADO,PP,""ESTEBAN BOLEA,MARIA TERESA"""
"E94,,0,0,ESTADO,PP,""ESTEBAN MARTIN,LAURA ELENA"""
"E94,,0,0,ESTADO,PP,""FABRA VALLES,JUAN MANUEL"""
"E94,,0,0,ESTADO,PP,""FERNANDEZ ALBOR,GERARDO"""
"E94,,0,0,ESTADO,PP,""FERNANDEZ MARTIN,FERNANDO MANUEL"""
"E94,,0,0,ESTADO,PP,""FRAGA ESTEVEZ,MARIA DEL CARMEN"""
"E94,,0,0,ESTADO,PP,""GALEOTE QUECEDO,JOSE GERARDO"""
"E94,,0,0,ESTADO,PP,""GARCIA-MARGALLO MARFIL,JOSE MANUEL"""
"E94,,0,0,ESTADO,PP,""GARRIGA POLLEDO,SALVADOR"""
"E94,,0,0,ESTADO,PP,""GIL-ROBLES GIL-DELGADO,JOSE MARIA"""
"E94,,0,0,ESTADO,PP,""MATUTES JUAN,ABEL"""
"E94,,0,0,ESTADO,PP,""MENDEZ DE VIGO MONTOJO,IÑIGO"""
"E94,,0,0,ESTADO,PP,""REDONDO JIMENEZ,ENCARNACION"""
"E94,,0,0,ESTADO,PP,""ROBLES PIQUER,CARLOS"""
"E94,,0,0,ESTADO,PP,""SALAFRANCA SANCHEZ-NEYRA,JOSE IGNACIO"""
"E94,,0,0,ESTADO,PP,""SISO CRUELLAS,JOAQUIN"""
"E94,,0,0,ESTADO,PP,""VALDIVIELSO DE CUE,JAIME"""
"E94,,0,0,ESTADO,PP,""VALVERDE LOPEZ,JOSE LUIS"""
"E94,,0,0,ESTADO,PP,""VARELA SUANZES-CARPEGNA,DANIEL LUIS"""
"E94,,0,0,ESTADO,PP,""VILLALOBOS TALERO,CELIA"""
"E94,,0,0,ESTADO,PSE-PSOE,""APARICIO SANCHEZ,PEDRO"""
"E94,,0,0,ESTADO,PSE-PSOE,""BARON CRESPO,ENRIQUE CARLOS"""
"E94,,0,0,ESTADO,PSE-PSOE,""CABEZON ALONSO,JESUS"""
"E94,,0,0,ESTADO,PSE-PSOE,""COLINO SALAMANCA,JUAN LUIS"""
"E94,,0,0,ESTADO,PSE-PSOE,""COLOM NAVAL,JOAN"""
"E94,,0,0,ESTADO,PSE-PSOE,""DE FRUTOS GAMA,MANUELA"""
"E94,,0,0,ESTADO,PSE-PSOE,""DIEZ DE RIVERA ICAZA,CARMEN"""
"E94,,0,0,ESTADO,PSE-PSOE,""DUHRKOP DUHRKOP,BARBARA"""
"E94,,0,0,ESTADO,PSE-PSOE,""GARCIA ARIAS,LUDIVINA"""
