TH,Cod.Comarca,Cod.Municipio,AMBITO,Censo,Votantes,Nulos,Válidos,Blancos,Votos Cand.,Abstenciones,PSE-PSOE,PP,HB,EB,EKA,PH,ARM-ADE,FE-JONS,PCPE-EHAC,CIU,BNG,E.U.,POR-LIA,PLN-LNA,CNPS,PNV...(E94),PAS,EA...(E94),FEI,GV,URCL,PREX,CEC,CTC,JYB,FORO Y CDS,ADN,CPNT,PREPAL,PA-PAP,AG,GPOR-PST
ARABA-ÁLAVA,001,059,VITORIA-GASTEIZ,170091,83148,633,82515,2027,80488,86943,17600,24057,6897,11721,35,56,416,33,171,43,86,97,70,98,43,12554,33,4013,19,1003,39,41,205,24,48,834,26,127,41,19,24,15
ARABA-ÁLAVA,002,001,ALEGRÍA-DULANTZI,794,401,2,399,10,389,393,76,86,21,32,0,0,0,0,1,0,0,1,2,0,0,125,0,32,0,3,0,0,3,0,1,1,0,4,0,0,0,1
ARABA-ÁLAVA,002,003,ARAMAIO,1103,656,4,652,11,641,447,11,7,145,8,0,0,0,0,1,0,0,0,0,0,0,179,0,284,0,4,0,1,0,0,0,1,0,0,0,0,0,0
ARABA-ÁLAVA,002,006,ARMIÑÓN,115,79,2,77,3,74,36,1,46,2,7,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ARABA-ÁLAVA,002,008,ARRAZUA-UBARRUNDIA,570,285,3,282,3,279,285,36,63,26,18,0,0,3,0,2,0,0,0,0,2,0,111,1,11,0,6,0,0,0,0,0,0,0,0,0,0,0,0
ARABA-ÁLAVA,002,009,ASPARRENA,1287,672,8,664,14,650,615,96,101,138,33,0,2,1,0,0,0,0,1,0,0,0,202,0,63,2,3,1,1,1,0,0,2,1,1,0,0,0,1
ARABA-ÁLAVA,002,011,BAÑOS DE EBRO / MAÑUETA,294,202,1,201,5,196,92,18,75,3,3,1,0,1,0,0,0,0,0,0,0,0,94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARABA-ÁLAVA,002,013,BARRUNDIA,491,177,1,176,2,174,314,8,46,20,8,0,0,2,0,0,0,0,0,0,0,0,79,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ARABA-ÁLAVA,002,014,BERANTEVILLA,342,208,1,207,2,205,134,16,64,13,31,0,1,0,0,0,0,0,0,0,0,0,73,0,1,0,4,0,0,0,0,0,2,0,0,0,0,0,0
ARABA-ÁLAVA,002,016,BERNEDO,499,207,1,206,0,206,292,6,85,9,10,0,0,2,0,0,0,0,0,0,0,0,87,0,3,0,1,0,0,0,0,0,1,0,2,0,0,0,0
ARABA-ÁLAVA,002,017,CAMPEZO / KANPEZU,975,502,4,498,5,493,473,80,148,38,16,0,0,0,0,0,0,0,0,0,0,0,181,0,28,0,0,0,0,0,1,0,1,0,0,0,0,0,0
ARABA-ÁLAVA,002,018,ZIGOITIA,775,365,1,364,9,355,410,17,54,83,42,0,0,0,0,2,0,0,0,0,0,0,98,0,50,0,6,0,0,0,0,0,3,0,0,0,0,0,0
ARABA-ÁLAVA,002,019,KRIPAN,174,115,0,115,0,115,59,1,20,2,2,0,0,1,0,0,0,0,0,0,0,0,82,0,3,0,1,0,0,0,0,0,1,0,2,0,0,0,0
ARABA-ÁLAVA,002,020,KUARTANGO,325,159,1,158,2,156,166,9,19,37,10,0,0,0,0,0,0,0,0,0,0,0,79,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARABA-ÁLAVA,002,021,ELBURGO / BURGELU,177,92,2,90,0,90,85,11,28,3,6,0,1,0,0,0,0,0,0,2,0,0,32,0,2,0,2,0,0,2,0,0,1,0,0,0,0,0,0
ARABA-ÁLAVA,002,022,ELCIEGO,779,544,10,534,2,532,235,175,168,13,53,0,0,0,0,1,0,0,0,0,0,0,75,0,40,0,2,0,0,0,0,0,5,0,0,0,0,0,0
ARABA-ÁLAVA,002,023,ELVILLAR / BILAR,307,199,0,199,6,193,108,18,72,12,6,0,0,0,1,0,0,0,0,0,0,0,79,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0
ARABA-ÁLAVA,002,027,IRURAIZ-GAUNA,354,176,2,174,3,171,178,9,66,25,10,0,0,3,0,0,0,0,1,0,1,0,44,0,3,0,5,1,0,0,1,0,0,0,1,0,0,0,1
ARABA-ÁLAVA,002,028,LABASTIDA / BASTIDA,819,512,1,511,4,507,307,74,196,69,60,0,0,1,0,0,0,0,0,0,0,1,83,0,8,0,2,0,2,1,2,0,6,0,2,0,0,0,0
ARABA-ÁLAVA,002,030,LAGRÁN,175,106,2,104,3,101,69,15,34,1,7,0,0,0,0,0,0,0,1,0,0,0,38,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0
ARABA-ÁLAVA,002,031,LAGUARDIA,1171,732,9,723,6,717,439,101,293,22,37,4,0,2,0,2,0,0,0,0,0,1,203,0,36,0,3,0,1,1,2,1,7,0,1,0,0,0,0
ARABA-ÁLAVA,002,032,LANCIEGO / LANTZIEGO,539,320,3,317,2,315,219,71,81,11,9,0,0,0,0,1,0,0,0,0,0,0,138,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ARABA-ÁLAVA,002,033,LAPUEBLA DE LABARCA,676,513,4,509,3,506,163,51,112,9,15,1,0,0,0,0,0,0,0,0,0,1,291,0,19,0,3,0,0,3,0,0,0,0,1,0,0,0,0
ARABA-ÁLAVA,002,034,LEZA,179,106,2,104,1,103,73,20,15,6,3,0,0,0,0,0,0,0,0,0,0,0,35,0,22,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ARABA-ÁLAVA,002,037,ARRAIA-MAEZTU,637,308,5,303,2,301,329,48,62,21,18,0,0,3,0,0,1,0,0,0,1,0,120,0,18,0,5,0,0,2,0,0,2,0,0,0,0,0,0
ARABA-ÁLAVA,002,039,MOREDA DE ÁLAVA,251,177,0,177,2,175,74,58,47,2,6,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
ARABA-ÁLAVA,002,041,NAVARIDAS,185,131,3,128,2,126,54,5,65,2,8,0,0,0,0,0,0,0,0,0,0,0,31,0,10,0,1,0,0,0,0,0,1,3,0,0,0,0,0
ARABA-ÁLAVA,002,043,OYÓN-OION,1874,1053,3,1050,9,1041,821,220,397,92,105,0,0,2,0,1,0,0,0,1,0,0,180,0,30,0,5,0,0,3,0,0,3,0,1,0,1,0,0
ARABA-ÁLAVA,002,044,PEÑACERRADA-URIZAHARRA,224,138,1,137,0,137,86,19,41,9,8,0,0,0,0,0,0,0,0,1,0,0,57,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ARABA-ÁLAVA,002,046,RIBERA ALTA,479,266,2,264,4,260,213,31,96,15,17,1,0,0,0,0,0,0,0,0,1,1,85,0,9,0,2,0,0,0,0,0,1,0,1,0,0,0,0
ARABA-ÁLAVA,002,047,RIBERA BAJA / ERRIBERA BEITIA,355,208,1,207,2,205,147,31,82,10,23,1,0,0,0,0,0,0,0,0,1,0,53,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0
ARABA-ÁLAVA,002,049,AÑANA,183,138,0,138,3,135,45,11,28,13,6,0,0,1,1,0,0,0,0,0,0,0,63,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ARABA-ÁLAVA,002,051,SALVATIERRA / AGURAIN,2953,1405,5,1400,23,1377,1548,294,198,229,158,1,1,2,3,1,0,0,1,0,2,0,313,1,146,0,13,1,0,4,0,1,3,0,3,0,0,1,1
ARABA-ÁLAVA,002,052,SAMANIEGO,236,150,4,146,1,145,86,42,20,17,11,0,1,0,0,0,0,0,0,0,0,0,48,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0
ARABA-ÁLAVA,002,053,SAN MILLÁN / DONEMILIAGA,590,182,5,177,1,176,408,13,46,20,13,0,0,0,0,0,0,0,0,0,0,0,77,0,2,0,4,0,0,0,0,0,0,0,0,0,1,0,0
ARABA-ÁLAVA,002,054,URKABUSTAIZ,717,394,7,387,5,382,323,16,92,105,33,0,0,0,0,0,1,0,1,0,0,0,102,0,30,0,0,0,0,0,0,0,0,1,0,0,0,1,0
ARABA-ÁLAVA,002,055,VALDEGOVÍA / GAUBEA,795,434,1,433,8,425,361,35,139,37,20,0,0,2,0,0,0,0,0,3,0,1,167,0,10,0,2,0,0,0,0,0,7,1,1,0,0,0,0
ARABA-ÁLAVA,002,056,HARANA / VALLE DE ARANA,352,186,0,186,1,185,166,10,63,13,3,0,0,0,0,0,0,0,0,0,0,0,87,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARABA-ÁLAVA,002,057,VILLABUENA DE ÁLAVA / ESKUERNAGA,295,238,4,234,1,233,57,9,55,32,2,0,0,0,0,0,0,0,0,0,0,0,117,0,16,0,1,0,0,0,1,0,0,0,0,0,0,0,0
ARABA-ÁLAVA,002,058,LEGUTIANO,1046,540,3,537,12,525,506,50,40,94,46,1,0,0,1,0,0,0,0,0,1,0,187,0,98,1,3,0,0,2,0,0,1,0,0,0,0,0,0
ARABA-ÁLAVA,002,060,YÉCORA / IEKORA,210,150,2,148,2,146,60,21,59,2,4,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0
ARABA-ÁLAVA,002,061,ZALDUONDO,109,68,0,68,4,64,41,5,6,17,13,0,0,1,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
