TH,Cod.Municipio,AMBITO,Distrito,Sección,Mesa,Censo,Votantes,Nulos,Válidos,Blancos,Votos Cand.,Abstenciones,PSE-PSOE,PP,EB,CDS,EKA,PH,FE-JONS,POSI,PREPAL,PADE,TC-PNC,DN,FE,ARALAR,PNV...(E04),N.I.V.,CUP,UCL,EA...(E04),NOS-UP,EC,PUM+J,PFYV,PASOC,PCPE-LI.(LIT-CI),CL,P.CANNABIS,CE...(E04),FA,PARADOS,B-GV
ARABA-ÁLAVA,001,ALEGRÍA-DULANTZI,1,1,A,756,332,37,295,0,295,424,79,58,16,0,0,0,0,0,0,0,0,0,0,3,104,1,0,0,28,0,0,0,0,1,0,0,3,0,0,0,2
ARABA-ÁLAVA,001,ALEGRÍA-DULANTZI,1,1,B,775,296,29,267,4,263,479,84,52,8,0,0,1,0,0,0,0,0,0,1,6,87,0,0,0,18,0,0,0,0,2,0,0,4,0,0,0,0
ARABA-ÁLAVA,002,AMURRIO,1,1,A,651,350,28,322,1,321,301,44,78,11,0,0,0,0,0,0,0,0,0,0,5,127,0,0,0,52,0,0,0,0,1,0,0,1,0,0,1,1
ARABA-ÁLAVA,002,AMURRIO,1,1,B,669,330,29,301,0,301,339,42,83,13,0,0,0,0,0,1,0,0,0,0,1,111,1,0,0,47,0,0,0,0,0,0,0,2,0,0,0,0
ARABA-ÁLAVA,002,AMURRIO,1,1,C,323,155,28,127,0,127,168,14,19,3,0,0,0,0,0,0,0,0,0,0,2,76,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0
ARABA-ÁLAVA,002,AMURRIO,1,2,A,669,290,42,248,1,247,379,57,41,8,0,0,0,0,0,0,0,0,0,0,4,96,0,0,0,38,0,0,0,0,1,0,0,2,0,0,0,0
ARABA-ÁLAVA,002,AMURRIO,1,2,B,620,279,33,246,2,244,341,59,44,1,0,0,0,0,0,0,0,0,0,0,4,106,0,0,0,26,1,0,0,0,0,0,0,1,0,0,1,1
ARABA-ÁLAVA,002,AMURRIO,1,2,C,253,117,29,88,1,87,136,0,15,1,0,0,0,0,0,0,0,0,0,0,7,48,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0
ARABA-ÁLAVA,002,AMURRIO,1,3,U,870,420,59,361,0,361,450,90,68,11,0,0,0,0,0,0,0,0,0,0,6,144,0,0,0,35,0,0,0,0,0,0,0,4,0,1,0,2
ARABA-ÁLAVA,002,AMURRIO,1,4,A,592,284,35,249,4,245,308,51,34,6,0,0,1,0,0,1,0,0,0,0,2,103,0,0,0,41,0,0,1,0,0,1,0,1,0,0,0,3
ARABA-ÁLAVA,002,AMURRIO,1,4,B,710,341,32,309,1,308,369,65,40,13,0,0,0,0,0,0,0,0,0,0,8,132,0,0,0,42,0,0,0,0,0,1,0,4,0,0,0,3
ARABA-ÁLAVA,002,AMURRIO,1,5,A,508,250,15,235,2,233,258,69,37,10,0,0,0,0,0,0,0,0,0,0,2,80,0,0,0,32,0,0,0,0,0,0,0,1,0,0,0,2
ARABA-ÁLAVA,002,AMURRIO,1,5,B,487,212,18,194,1,193,275,69,28,2,0,0,0,0,0,0,0,0,0,0,2,60,1,0,0,26,0,0,1,0,0,0,0,3,0,0,0,1
ARABA-ÁLAVA,002,AMURRIO,1,6,U,790,388,36,352,5,347,402,82,50,9,0,0,0,0,0,0,0,1,0,0,5,144,0,0,0,55,0,0,0,0,0,0,0,1,0,0,0,0
ARABA-ÁLAVA,002,AMURRIO,1,7,U,867,436,50,386,1,385,431,137,41,9,0,0,0,0,3,1,0,0,0,0,3,147,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0
ARABA-ÁLAVA,003,ARAMAIO,1,1,A,593,278,78,200,1,199,315,8,6,4,0,0,0,0,0,0,0,0,0,0,2,91,0,0,0,84,1,0,0,0,0,1,0,2,0,0,0,0
ARABA-ÁLAVA,003,ARAMAIO,1,1,B,652,312,74,238,1,237,340,17,11,9,0,0,0,0,0,0,0,0,0,0,8,102,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,1
ARABA-ÁLAVA,004,ARTZINIEGA,1,1,A,573,348,29,319,1,318,225,44,99,6,0,0,0,0,1,0,0,0,0,0,12,129,2,0,0,18,0,0,0,1,0,0,0,0,0,0,1,5
