TH,Cod.Comarca,Cod.Municipio,AMBITO,Censo,Votantes,Nulos,Válidos,Blancos,Votos Cand.,Abstenciones,PSE-PSOE,PP,EB,CDS,EKA,PH,FE-JONS,POSI,PREPAL,PADE,TC-PNC,DN,FE,ARALAR,PNV...(E04),N.I.V.,CUP,UCL,EA...(E04),NOS-UP,EC,PUM+J,PFYV,PASOC,PCPE-LI.(LIT-CI),CL,P.CANNABIS,CE...(E04),FA,PARADOS,B-GV
ARABA-ÁLAVA,001,059,VITORIA-GASTEIZ,183426,77805,4839,72966,468,72498,105621,25564,24166,3040,47,9,43,17,70,19,11,24,25,16,609,13728,112,11,11,3736,14,17,131,39,45,43,11,499,26,5,61,349
ARABA-ÁLAVA,002,001,ALEGRÍA-DULANTZI,1531,628,66,562,4,558,903,163,110,24,0,0,1,0,0,0,0,0,0,1,9,191,1,0,0,46,0,0,0,0,3,0,0,7,0,0,0,2
ARABA-ÁLAVA,002,003,ARAMAIO,1245,590,152,438,2,436,655,25,17,13,0,0,0,0,0,0,0,0,0,0,10,193,0,0,0,173,1,0,0,0,0,1,0,2,0,0,0,1
ARABA-ÁLAVA,002,006,ARMIÑÓN,142,87,4,83,0,83,55,26,35,3,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ARABA-ÁLAVA,002,008,ARRAZUA-UBARRUNDIA,676,301,40,261,1,260,375,56,58,7,0,0,1,0,0,0,0,0,0,0,13,120,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2
ARABA-ÁLAVA,002,009,ASPARRENA,1335,567,150,417,0,417,768,81,67,19,0,0,2,0,0,2,0,0,0,1,19,166,0,1,0,50,1,1,1,1,3,0,0,0,0,0,0,2
ARABA-ÁLAVA,002,011,BAÑOS DE EBRO / MAÑUETA,274,166,5,161,1,160,108,24,79,0,0,0,0,0,0,0,1,0,0,0,0,53,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
ARABA-ÁLAVA,002,013,BARRUNDIA,646,248,45,203,0,203,398,19,37,19,1,1,1,0,0,0,0,0,0,0,5,105,0,0,0,8,0,0,2,0,0,2,0,2,0,0,0,1
ARABA-ÁLAVA,002,014,BERANTEVILLA,414,220,8,212,1,211,194,25,79,5,1,0,1,0,0,0,0,0,0,0,0,90,0,0,0,7,0,0,0,0,0,0,0,2,0,0,1,0
ARABA-ÁLAVA,002,016,BERNEDO,494,193,18,175,1,174,301,22,61,2,0,0,0,0,0,0,0,0,0,0,1,71,0,0,0,13,0,0,1,0,0,0,0,1,0,0,0,2
ARABA-ÁLAVA,002,017,CAMPEZO / KANPEZU,920,455,60,395,1,394,465,69,121,18,0,0,0,0,0,0,0,0,0,0,4,162,0,0,0,15,0,0,0,0,1,1,0,3,0,0,0,0
