TH,Cod.Municipio,AMBITO,Distrito,Sección,Mesa,Censo,Votantes,Nulos,Válidos,Blancos,Votos Cand.,Abstenciones,PP,CDS,PH,FE-JONS,PCPE-EK,POSI,UCE,F.N.,UNA,UV,E.U.,PSE-EE/PSOE,PREPAL,AA,LV-GV,DN,PACMA/ZAAAA,MSR,UCL,PUM+J,PFYV,FA,CDL,AES,UPD,IF,PNV...(E09),SAIN,PSA,ARALAR-EA...(E09),IZAN-RG,RC,EB-B...(E09),LIBERTAS-C´S,I.I.
ARABA-ÁLAVA,001,ALEGRÍA-DULANTZI,1,1,A,953,364,2,362,2,360,589,56,0,0,0,0,1,0,0,0,0,2,103,0,0,2,0,0,0,0,2,0,0,0,0,7,0,87,1,0,46,0,0,5,0,48
ARABA-ÁLAVA,001,ALEGRÍA-DULANTZI,1,1,B,953,352,0,352,1,351,601,47,0,0,0,0,0,0,0,0,0,0,116,0,0,3,0,1,0,0,3,1,0,0,0,10,1,92,0,0,39,0,0,8,0,30
ARABA-ÁLAVA,002,AMURRIO,1,1,A,661,326,1,325,1,324,335,53,1,0,0,0,0,0,0,1,0,0,55,0,0,2,0,2,0,0,0,0,0,0,1,3,0,129,0,0,23,1,0,3,0,50
ARABA-ÁLAVA,002,AMURRIO,1,1,B,640,320,3,317,1,316,320,66,1,3,0,1,0,0,0,0,0,0,51,0,0,1,1,1,0,0,0,0,0,0,0,2,0,113,0,0,22,0,0,2,0,52
ARABA-ÁLAVA,002,AMURRIO,1,1,C,293,149,1,148,0,148,144,11,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,5,0,0,1,0,36
ARABA-ÁLAVA,002,AMURRIO,1,2,A,648,255,0,255,2,253,393,30,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,3,0,106,0,0,18,0,0,4,0,53
ARABA-ÁLAVA,002,AMURRIO,1,2,B,612,236,1,235,0,235,376,33,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,2,0,0,0,0,0,0,0,2,0,100,0,0,8,0,0,1,0,39
ARABA-ÁLAVA,002,AMURRIO,1,2,C,243,114,0,114,1,113,129,12,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53,0,0,12,2,0,1,0,28
ARABA-ÁLAVA,002,AMURRIO,1,3,U,788,357,2,355,5,350,431,49,1,0,0,0,0,0,0,0,0,0,77,0,0,5,0,1,0,0,0,1,0,0,0,0,0,131,0,0,20,0,0,2,1,62
ARABA-ÁLAVA,002,AMURRIO,1,4,A,619,270,0,270,1,269,349,30,0,0,0,1,0,0,0,0,0,0,52,0,0,2,0,0,0,0,0,0,0,0,0,1,0,111,0,0,22,0,0,3,0,47
ARABA-ÁLAVA,002,AMURRIO,1,4,B,729,316,0,316,2,314,413,25,0,1,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,1,1,0,0,0,1,1,124,0,0,27,1,0,7,1,51
ARABA-ÁLAVA,002,AMURRIO,1,5,A,527,218,5,213,1,212,309,36,0,0,0,0,0,0,0,0,0,0,67,0,0,1,0,0,0,0,3,0,0,0,0,0,0,63,0,0,19,0,0,1,0,22
ARABA-ÁLAVA,002,AMURRIO,1,5,B,487,200,0,200,1,199,287,23,0,1,0,0,1,2,0,0,0,0,60,0,0,2,1,1,0,0,0,0,0,0,0,1,0,62,1,0,17,2,1,3,0,21
ARABA-ÁLAVA,002,AMURRIO,1,6,A,534,223,1,222,2,220,311,23,0,0,0,0,0,1,0,0,0,1,53,0,0,2,0,0,0,0,1,0,0,0,0,0,0,79,0,0,22,0,0,2,0,36
ARABA-ÁLAVA,002,AMURRIO,1,6,B,562,209,1,208,2,206,353,20,0,0,0,0,0,0,0,0,0,0,48,0,0,2,0,0,0,0,0,0,0,0,0,1,0,77,0,0,18,0,0,3,0,37
ARABA-ÁLAVA,002,AMURRIO,1,7,U,805,364,1,363,0,363,441,35,0,0,0,1,0,0,0,0,0,0,120,1,0,2,0,3,0,0,0,0,0,0,0,0,1,120,0,1,25,1,0,10,0,43
ARABA-ÁLAVA,003,ARAMAIO,1,1,A,575,245,0,245,0,245,330,3,0,0,0,0,1,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,81,0,0,48,1,0,2,0,102
ARABA-ÁLAVA,003,ARAMAIO,1,1,B,646,277,0,277,1,276,369,7,0,0,0,0,0,0,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,87,0,0,59,1,0,0,0,101
