TH,Cod.Comarca,Cod.Municipio,AMBITO,Censo,Votantes,Nulos,Válidos,Blancos,Votos Cand.,Abstenciones,PP,CDS,PH,FE-JONS,PCPE-EK,POSI,UCE,F.N.,UNA,UV,E.U.,PSE-EE/PSOE,PREPAL,AA,LV-GV,DN,PACMA/ZAAAA,MSR,UCL,PUM+J,PFYV,FA,CDL,AES,UPD,IF,PNV...(E09),SAIN,PSA,ARALAR-EA...(E09),IZAN-RG,RC,EB-B...(E09),LIBERTAS-C´S,I.I.
ARABA-ÁLAVA,001,059,VITORIA-GASTEIZ,182907,71204,381,70823,634,70189,111703,19852,54,35,17,77,92,32,9,14,7,27,24559,29,11,582,34,191,24,9,242,65,27,15,27,2021,74,10852,45,17,3006,66,13,1486,99,6479
ARABA-ÁLAVA,002,001,ALEGRÍA-DULANTZI,1906,716,2,714,3,711,1190,103,0,0,0,0,1,0,0,0,0,2,219,0,0,5,0,1,0,0,5,1,0,0,0,17,1,179,1,0,85,0,0,13,0,78
ARABA-ÁLAVA,002,003,ARAMAIO,1221,522,0,522,1,521,699,10,0,0,0,0,1,0,0,0,0,0,25,0,0,2,0,1,0,0,0,0,0,0,0,0,0,168,0,0,107,2,0,2,0,203
ARABA-ÁLAVA,002,006,ARMIÑÓN,183,97,1,96,0,96,86,44,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,3,1,0,1,0,3
ARABA-ÁLAVA,002,008,ARRAZUA-UBARRUNDIA,748,299,0,299,5,294,449,65,0,0,0,1,1,0,0,0,0,0,62,0,0,4,0,0,0,0,0,2,0,0,0,2,0,90,0,0,25,0,0,6,0,36
ARABA-ÁLAVA,002,009,ASPARRENA,1298,519,4,515,2,513,779,47,0,0,0,0,0,0,0,0,0,0,77,0,0,2,1,2,0,0,0,2,0,0,0,4,1,151,1,0,55,3,0,9,1,157
ARABA-ÁLAVA,002,011,BAÑOS DE EBRO / MAÑUETA,259,153,2,151,3,148,106,68,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48,0,0,4,0,0,1,0,2
ARABA-ÁLAVA,002,013,BARRUNDIA,695,247,0,247,2,245,448,35,0,0,0,0,0,0,0,0,0,0,28,0,0,1,0,2,0,0,1,1,0,0,0,5,0,82,0,0,24,0,0,8,0,58
ARABA-ÁLAVA,002,014,BERANTEVILLA,395,188,0,188,3,185,207,69,0,1,0,3,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,50,0,0,8,0,0,4,4,11
ARABA-ÁLAVA,002,016,BERNEDO,479,141,0,141,1,140,338,34,0,0,1,1,0,0,0,0,0,0,25,0,0,1,0,0,0,0,0,0,0,0,0,2,0,45,0,0,8,1,0,3,0,19
ARABA-ÁLAVA,002,017,CAMPEZO / KANPEZU,911,363,0,363,3,360,548,83,0,1,0,0,0,0,0,0,0,0,57,0,0,0,0,2,1,0,1,0,0,0,0,5,0,113,0,0,25,1,0,9,0,62
ARABA-ÁLAVA,002,018,ZIGOITIA,1340,529,5,524,0,524,811,61,0,0,0,0,0,0,1,0,0,0,122,0,0,0,0,1,0,0,2,0,0,1,1,4,0,139,0,0,59,0,0,8,0,125
ARABA-ÁLAVA,002,019,KRIPAN,155,93,0,93,0,93,62,21,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,62,0,0,2,0,0,0,0,3
ARABA-ÁLAVA,002,020,KUARTANGO,320,147,0,147,0,147,173,18,0,0,0,0,0,0,0,0,0,1,12,0,0,2,1,0,0,0,0,0,0,0,0,2,0,66,0,0,10,0,0,3,0,32
ARABA-ÁLAVA,002,021,ELBURGO / BURGELU,418,160,2,158,0,158,258,37,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,7,0,60,0,0,7,0,0,2,0,16
ARABA-ÁLAVA,002,022,ELCIEGO,841,475,3,472,1,471,366,144,1,1,0,0,0,0,0,0,0,0,200,0,0,5,0,1,0,0,0,0,0,0,0,10,0,69,0,0,19,0,0,7,0,14
ARABA-ÁLAVA,002,023,ELVILLAR / BILAR,291,160,1,159,1,158,131,67,0,0,0,1,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,3,1,41,0,0,2,0,0,0,0,10
ARABA-ÁLAVA,002,027,IRURAIZ-GAUNA,412,165,1,164,0,164,247,35,0,0,0,0,0,0,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,6,0,57,0,0,5,0,0,1,0,41
ARABA-ÁLAVA,002,028,LABASTIDA / BASTIDA,1135,531,3,528,2,526,604,190,1,1,0,0,0,0,0,0,0,1,104,0,0,1,0,0,0,0,0,0,0,1,0,9,0,97,0,0,24,1,0,29,3,64
ARABA-ÁLAVA,002,030,LAGRÁN,175,110,1,109,0,109,65,44,0,1,0,0,0,0,0,0,0,1,24,0,0,2,0,1,0,0,0,0,0,0,0,1,0,31,0,0,2,0,0,0,0,2
ARABA-ÁLAVA,002,031,LAGUARDIA,1247,635,9,626,6,620,612,281,0,0,1,0,1,0,0,0,0,0,121,0,0,0,0,1,0,0,1,1,1,0,0,8,1,141,0,0,39,0,0,2,0,21
ARABA-ÁLAVA,002,032,LANCIEGO / LANTZIEGO,541,291,1,290,1,289,250,100,0,0,0,0,0,0,0,0,0,0,79,0,0,2,0,0,0,0,1,0,0,0,0,2,0,82,0,0,6,0,0,1,0,16
ARABA-ÁLAVA,002,033,LAPUEBLA DE LABARCA,701,403,1,402,2,400,298,100,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,1,0,173,0,0,16,1,0,1,1,16
ARABA-ÁLAVA,002,034,LEZA,174,99,0,99,2,97,75,8,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,36,0,1,11,0,0,0,0,17
ARABA-ÁLAVA,002,037,ARRAIA-MAEZTU,616,242,1,241,1,240,374,59,0,0,0,1,0,0,0,0,0,0,46,0,0,2,0,0,0,0,0,1,1,0,0,0,0,78,0,0,7,0,0,6,0,39
