TH,Cod.Municipio,AMBITO,Distrito,Sección,Mesa,Censo,Votantes,Nulos,Válidos,Blancos,Votos Cand.,Abstenciones,PSE-PSOE,PP,PH,FE-JONS,EK-PCPE,P.A.,E.U.,PREPAL,DN,PACMA/ATTKA,MSR,UPYD,C´S,I.FEM,SAIN,IU-LV,EB-AZ,EH BILDU,EAJ-PNV ... (E14),FAC,EPDD,IMPULSOSOCIAL,RECORTES CERO,EQUO-PUM+J,VOX,P-LIB,PARTIDO X,D. E. R.,IPEX-PREX-CREX,M.C.R.,RRUE,PODEMOS,ALTER,PT,LEM,PIRATAS,ACNV-BAR-PRAO-...,MOVIMIENTO RED,CILUS
ARABA-ÁLAVA,1,ALEGRÍA-DULANTZI,1,1,U,981,391,13,378,5,373,590,50,23,1,0,0,0,2,0,0,3,0,12,1,2,1,24,9,107,86,0,0,0,0,11,0,0,3,1,0,0,0,33,0,0,0,1,0,3,0
ARABA-ÁLAVA,1,ALEGRÍA-DULANTZI,1,2,U,1047,423,11,412,2,410,624,62,44,0,0,0,0,0,1,0,3,1,19,7,2,0,36,5,79,73,0,0,1,4,23,2,0,1,2,0,0,0,41,0,1,0,1,0,2,0
ARABA-ÁLAVA,2,AMURRIO,1,1,A,620,319,1,318,3,315,301,33,27,0,0,0,0,0,0,0,2,0,5,5,1,0,14,2,98,90,0,0,0,0,7,10,1,0,1,0,0,0,15,0,0,0,1,0,3,0
ARABA-ÁLAVA,2,AMURRIO,1,1,B,605,322,5,317,3,314,283,24,42,0,0,0,0,1,0,0,1,0,5,0,0,0,23,1,85,99,1,0,0,0,4,3,0,1,0,0,0,0,20,0,0,0,2,1,1,0
ARABA-ÁLAVA,2,AMURRIO,1,1,C,291,137,1,136,0,136,154,5,11,0,0,0,0,0,0,0,4,0,2,0,0,0,6,0,37,62,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0
ARABA-ÁLAVA,2,AMURRIO,1,2,A,615,256,5,251,3,248,359,23,16,1,0,0,0,0,0,0,3,0,4,0,0,0,10,6,77,68,0,0,0,1,2,2,0,2,2,0,0,0,27,0,0,0,0,0,4,0
ARABA-ÁLAVA,2,AMURRIO,1,2,B,549,257,9,248,2,246,292,15,19,0,1,1,0,0,0,1,3,0,9,1,2,0,20,1,68,82,1,0,0,1,0,1,0,0,0,0,1,0,17,0,1,0,0,0,1,0
ARABA-ÁLAVA,2,AMURRIO,1,2,C,228,92,0,92,1,91,136,0,5,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,31,38,0,1,0,0,3,1,0,0,0,0,0,0,4,0,0,0,0,0,2,0
ARABA-ÁLAVA,2,AMURRIO,1,3,U,1010,511,9,502,14,488,499,44,31,1,0,1,0,0,0,0,10,0,8,1,0,2,20,1,166,144,1,1,0,2,3,2,1,2,0,0,0,1,44,0,1,0,0,0,1,0
ARABA-ÁLAVA,2,AMURRIO,1,4,A,663,303,4,299,0,299,360,29,21,2,0,0,0,1,0,0,6,0,3,0,2,0,16,4,76,91,0,4,0,0,5,1,0,1,2,0,0,0,33,0,0,0,0,0,2,0
ARABA-ÁLAVA,2,AMURRIO,1,4,B,745,356,7,349,6,343,389,35,20,1,0,0,0,0,0,0,4,0,2,2,0,0,23,2,104,99,0,0,0,1,8,3,0,0,1,0,0,0,36,0,1,0,0,0,1,0
ARABA-ÁLAVA,2,AMURRIO,1,5,U,1006,407,7,400,3,397,599,74,42,0,0,1,0,1,0,0,3,0,14,3,1,0,16,2,82,118,1,1,0,0,2,3,0,1,0,0,0,0,26,0,0,0,0,0,5,1
ARABA-ÁLAVA,2,AMURRIO,1,6,U,1083,455,13,442,8,434,628,44,14,0,0,0,0,0,0,0,7,0,5,2,1,0,24,6,132,134,0,1,0,1,4,1,0,6,5,0,0,0,43,0,0,0,1,0,3,0
ARABA-ÁLAVA,2,AMURRIO,1,7,U,757,374,3,371,8,363,383,65,14,0,0,2,0,0,0,1,1,0,4,0,0,1,28,8,91,104,1,0,0,1,3,6,1,0,1,0,0,0,28,0,0,0,0,0,3,0
ARABA-ÁLAVA,3,ARAMAIO,1,1,U,1189,585,5,580,10,570,604,18,5,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,331,171,0,0,0,1,9,5,0,2,0,0,0,0,13,0,0,0,0,0,0,0
