RESULTADOS ELECTORALES POR MESA;;;;;;;;;;;;;EH BILDU...(E24);EH BILDU...(E24);EH BILDU...(E24);PSOE;PSOE;PSOE;EAJ-PNV... (E24);EAJ-PNV... (E24);EAJ-PNV... (E24);PP;PP;PP;SUMAR... (E24);SUMAR... (E24);SUMAR... (E24);PODEMOS;PODEMOS;PODEMOS;VOX;VOX;VOX;SE ACABO LA FIESTA;SE ACABO LA FIESTA;SE ACABO LA FIESTA;PACMA;PACMA;PACMA;FO;FO;FO;IE;IE;IE;PFAC;PFAC;PFAC;EB-AZ;EB-AZ;EB-AZ;Cs;Cs;Cs;IZQESP;IZQESP;IZQESP;EXISTE;EXISTE;EXISTE;PCTE / ELAK;PCTE / ELAK;PCTE / ELAK;PCPE/PCPC;PCPE/PCPC;PCPE/PCPC;PIRATES/REBELDES;PIRATES/REBELDES;PIRATES/REBELDES;JUNTS UE;JUNTS UE;JUNTS UE;VOLT;VOLT;VOLT;RECORTES CERO;RECORTES CERO;RECORTES CERO;PH;PH;PH;CREE EN EUROPA;CREE EN EUROPA;CREE EN EUROPA;SAE;SAE;SAE;CRT;CRT;CRT;F;F;F;PMR;PMR;PMR;PREPAL;PREPAL;PREPAL;FE-JONS;FE-JONS;FE-JONS;GLG;GLG;GLG;ANDALUCISTAS;ANDALUCISTAS;ANDALUCISTAS;J.U.E.X.;J.U.E.X.;J.U.E.X.;EXTREMEÑOS;EXTREMEÑOS;EXTREMEÑOS
TH;Municipio;Cód. Municipio;Distrito;Sección;Mesa;Censo;Votos;Nulos;Válidos;Blancos;V. Candidaturas;Abstención;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos
Álava;AGURAIN/SALVATIERRA;"	051";"	01";"	001";"	A";543;300;1;299;3;296;243;150;50.68;50.17;49;16.55;16.39;55;18.58;18.39;21;7.09;7.02;3;1.01;1.0;11;3.72;3.68;4;1.35;1.34;2;0.68;0.67;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.34;0.33;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
Álava;AGURAIN/SALVATIERRA;"	051";"	01";"	001";"	B";585;280;3;277;1;276;305;126;45.65;45.49;55;19.93;19.86;50;18.12;18.05;19;6.88;6.86;10;3.62;3.61;4;1.45;1.44;7;2.54;2.53;0;0.0;0.0;4;1.45;1.44;0;0.0;0.0;1;0.36;0.36;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
Álava;AGURAIN/SALVATIERRA;"	051";"	01";"	002";"	A";672;302;;302;4;298;370;151;50.67;50.0;41;13.76;13.58;66;22.15;21.85;18;6.04;5.96;9;3.02;2.98;3;1.01;0.99;3;1.01;0.99;3;1.01;0.99;2;0.67;0.66;1;0.34;0.33;0;0.0;0.0;1;0.34;0.33;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
Álava;AGURAIN/SALVATIERRA;"	051";"	01";"	002";"	B";781;359;2;357;1;356;422;169;47.47;47.34;53;14.89;14.85;82;23.03;22.97;20;5.62;5.6;7;1.97;1.96;6;1.69;1.68;4;1.12;1.12;6;1.69;1.68;3;0.84;0.84;2;0.56;0.56;1;0.28;0.28;0;0.0;0.0;2;0.56;0.56;0;0.0;0.0;0;0.0;0.0;1;0.28;0.28;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
Álava;AGURAIN/SALVATIERRA;"	051";"	01";"	003";"	A";472;194;1;193;2;191;278;53;27.75;27.46;52;27.23;26.94;40;20.94;20.73;16;8.38;8.29;10;5.24;5.18;5;2.62;2.59;7;3.66;3.63;2;1.05;1.04;1;0.52;0.52;3;1.57;1.55;1;0.52;0.52;0;0.0;0.0;1;0.52;0.52;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
Álava;AGURAIN/SALVATIERRA;"	051";"	01";"	003";"	B";563;247;;247;3;244;316;72;29.51;29.15;58;23.77;23.48;72;29.51;29.15;22;9.02;8.91;3;1.23;1.21;4;1.64;1.62;8;3.28;3.24;2;0.82;0.81;0;0.0;0.0;1;0.41;0.4;2;0.82;0.81;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
Álava;ALEGRÍA-DULANTZI;"	001";"	01";"	001";"	A";517;240;1;239;;239;277;62;25.94;25.94;64;26.78;26.78;56;23.43;23.43;18;7.53;7.53;4;1.67;1.67;0;0.0;0.0;18;7.53;7.53;9;3.77;3.77;3;1.26;1.26;0;0.0;0.0;1;0.42;0.42;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.42;0.42;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;2;0.84;0.84;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.42;0.42;0;0.0;0.0
Álava;ALEGRÍA-DULANTZI;"	001";"	01";"	001";"	B";530;236;1;235;;235;294;57;24.26;24.26;70;29.79;29.79;45;19.15;19.15;22;9.36;9.36;5;2.13;2.13;6;2.55;2.55;14;5.96;5.96;10;4.26;4.26;3;1.28;1.28;1;0.43;0.43;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;2;0.85;0.85;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
Álava;ALEGRÍA-DULANTZI;"	001";"	01";"	002";"	A";554;269;3;266;;266;285;65;24.44;24.44;76;28.57;28.57;60;22.56;22.56;24;9.02;9.02;8;3.01;3.01;10;3.76;3.76;8;3.01;3.01;7;2.63;2.63;1;0.38;0.38;2;0.75;0.75;0;0.0;0.0;2;0.75;0.75;0;0.0;0.0;1;0.38;0.38;1;0.38;0.38;0;0.0;0.0;0;0.0;0.0;1;0.38;0.38;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
Álava;ALEGRÍA-DULANTZI;"	001";"	01";"	002";"	B";534;242;;242;4;238;292;55;23.11;22.73;57;23.95;23.55;51;21.43;21.07;27;11.34;11.16;5;2.1;2.07;18;7.56;7.44;8;3.36;3.31;12;5.04;4.96;1;0.42;0.41;1;0.42;0.41;1;0.42;0.41;1;0.42;0.41;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.42;0.41;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
