RESULTADOS ELECTORALES POR MUNICIPIO;;;;;;;;;;EH BILDU...(E24);EH BILDU...(E24);EH BILDU...(E24);PSOE;PSOE;PSOE;EAJ-PNV... (E24);EAJ-PNV... (E24);EAJ-PNV... (E24);PP;PP;PP;SUMAR... (E24);SUMAR... (E24);SUMAR... (E24);PODEMOS;PODEMOS;PODEMOS;VOX;VOX;VOX;SE ACABO LA FIESTA;SE ACABO LA FIESTA;SE ACABO LA FIESTA;PACMA;PACMA;PACMA;FO;FO;FO;IE;IE;IE;PFAC;PFAC;PFAC;EB-AZ;EB-AZ;EB-AZ;Cs;Cs;Cs;IZQESP;IZQESP;IZQESP;EXISTE;EXISTE;EXISTE;PCTE / ELAK;PCTE / ELAK;PCTE / ELAK;PCPE/PCPC;PCPE/PCPC;PCPE/PCPC;PIRATES/REBELDES;PIRATES/REBELDES;PIRATES/REBELDES;JUNTS UE;JUNTS UE;JUNTS UE;VOLT;VOLT;VOLT;RECORTES CERO;RECORTES CERO;RECORTES CERO;PH;PH;PH;CREE EN EUROPA;CREE EN EUROPA;CREE EN EUROPA;SAE;SAE;SAE;CRT;CRT;CRT;F;F;F;PMR;PMR;PMR;PREPAL;PREPAL;PREPAL;FE-JONS;FE-JONS;FE-JONS;GLG;GLG;GLG;ANDALUCISTAS;ANDALUCISTAS;ANDALUCISTAS;J.U.E.X.;J.U.E.X.;J.U.E.X.;EXTREMEÑOS;EXTREMEÑOS;EXTREMEÑOS
TH;Municipio;Cód. Municipio;Censo;Votos;Nulos;Válidos;Blancos;V. Candidaturas;Abstención;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos
Álava;AGURAIN/SALVATIERRA;"	051";3616;1682;7;1675;14;1661;1934;721;43.41;43.04;308;18.54;18.39;365;21.97;21.79;116;6.98;6.93;42;2.53;2.51;33;1.99;1.97;33;1.99;1.97;15;0.9;0.9;10;0.6;0.6;7;0.42;0.42;5;0.3;0.3;1;0.06;0.06;3;0.18;0.18;0;0.0;0.0;0;0.0;0.0;1;0.06;0.06;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.06;0.06;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
Álava;ALEGRÍA-DULANTZI;"	001";2135;987;5;982;4;978;1148;239;24.44;24.34;267;27.3;27.19;212;21.68;21.59;91;9.3;9.27;22;2.25;2.24;34;3.48;3.46;48;4.91;4.89;38;3.89;3.87;8;0.82;0.81;4;0.41;0.41;2;0.2;0.2;3;0.31;0.31;0;0.0;0.0;3;0.31;0.31;1;0.1;0.1;1;0.1;0.1;1;0.1;0.1;1;0.1;0.1;0;0.0;0.0;0;0.0;0.0;2;0.2;0.2;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.1;0.1;0;0.0;0.0
Álava;AMURRIO;"	002";7904;4355;22;4333;15;4318;3549;1364;31.59;31.48;1064;24.64;24.56;1148;26.59;26.49;314;7.27;7.25;89;2.06;2.05;121;2.8;2.79;109;2.52;2.52;32;0.74;0.74;15;0.35;0.35;11;0.25;0.25;5;0.12;0.12;5;0.12;0.12;7;0.16;0.16;2;0.05;0.05;2;0.05;0.05;2;0.05;0.05;3;0.07;0.07;5;0.12;0.12;5;0.12;0.12;3;0.07;0.07;3;0.07;0.07;4;0.09;0.09;2;0.05;0.05;0;0.0;0.0;1;0.02;0.02;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;2;0.05;0.05;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
Álava;AÑANA;"	049";121;82;;82;;82;39;28;34.15;34.15;10;12.2;12.2;21;25.61;25.61;10;12.2;12.2;1;1.22;1.22;2;2.44;2.44;1;1.22;1.22;1;1.22;1.22;2;2.44;2.44;1;1.22;1.22;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;1.22;1.22;0;0.0;0.0;1;1.22;1.22;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;3;3.66;3.66;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
Álava;ARAMAIO;"	003";1137;530;3;527;1;526;607;279;53.04;52.94;35;6.65;6.64;155;29.47;29.41;3;0.57;0.57;19;3.61;3.61;25;4.75;4.74;4;0.76;0.76;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;2;0.38;0.38;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.19;0.19;0;0.0;0.0;1;0.19;0.19;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.19;0.19;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.19;0.19;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
Álava;ARMIÑÓN;"	006";192;86;4;82;1;81;106;8;9.88;9.76;23;28.4;28.05;11;13.58;13.41;21;25.93;25.61;3;3.7;3.66;2;2.47;2.44;9;11.11;10.98;2;2.47;2.44;1;1.23;1.22;0;0.0;0.0;1;1.23;1.22;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
Álava;ARRAIA-MAEZTU;"	037";634;336;3;333;5;328;298;111;33.84;33.33;49;14.94;14.71;84;25.61;25.23;40;12.2;12.01;9;2.74;2.7;12;3.66;3.6;7;2.13;2.1;4;1.22;1.2;4;1.22;1.2;2;0.61;0.6;0;0.0;0.0;3;0.91;0.9;2;0.61;0.6;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.3;0.3;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
Álava;ARRATZUA-UBARRUNDIA;"	008";849;433;2;431;;431;416;133;30.86;30.86;92;21.35;21.35;99;22.97;22.97;59;13.69;13.69;8;1.86;1.86;6;1.39;1.39;12;2.78;2.78;17;3.94;3.94;2;0.46;0.46;2;0.46;0.46;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.23;0.23;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
Álava;ARTZINIEGA;"	004";1427;784;5;779;4;775;643;258;33.29;33.12;143;18.45;18.36;195;25.16;25.03;73;9.42;9.37;28;3.61;3.59;29;3.74;3.72;19;2.45;2.44;7;0.9;0.9;8;1.03;1.03;2;0.26;0.26;5;0.65;0.64;4;0.52;0.51;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.13;0.13;1;0.13;0.13;1;0.13;0.13;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.13;0.13;0;0.0;0.0
Álava;ASPARRENA;"	009";1282;683;4;679;2;677;599;320;47.27;47.13;115;16.99;16.94;128;18.91;18.85;26;3.84;3.83;17;2.51;2.5;36;5.32;5.3;14;2.07;2.06;3;0.44;0.44;9;1.33;1.33;1;0.15;0.15;1;0.15;0.15;0;0.0;0.0;1;0.15;0.15;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;3;0.44;0.44;0;0.0;0.0;0;0.0;0.0;1;0.15;0.15;0;0.0;0.0;0;0.0;0.0;1;0.15;0.15;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.15;0.15;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
