Elección;Circunscripción;Partido;Apellidos, Nombre
EU24;ESTADO;EAJ-PNV... (E24);AGIRREGOITIA MARTINEZ, OIHANE
EU24;ESTADO;EH BILDU...(E24);BARRENA ARZA, JOXE PERNANDO
EU24;ESTADO;EH BILDU...(E24);MIRANDA PAZ, ANA
EU24;ESTADO;EH BILDU...(E24);RIBA GINER, DIANA
EU24;ESTADO;JUNTS UE;COMIN OLIVERES, ANTONI
EU24;ESTADO;PODEMOS;MONTERO  GIL, IRENE
EU24;ESTADO;PODEMOS;SERRA SANCHEZ, ISABEL
EU24;ESTADO;PP;ABADIA JOVER, MARAVILLAS INMACULADA
EU24;ESTADO;PP;ARIAS ECHEVERRIA, PABLO
EU24;ESTADO;PP;BENJUMEA BENJUMEA, ISABEL
EU24;ESTADO;PP;CRESPO DIAZ, MARIA CARMEN
EU24;ESTADO;PP;DE LA HOZ QUINTANO, RAUL
EU24;ESTADO;PP;DEL CASTILLO VERA, PILAR
EU24;ESTADO;PP;ESTARAS FERRAGUT, ROSA
EU24;ESTADO;PP;EZCURRA ALMANSA, ALMA LUCIA
EU24;ESTADO;PP;GIMENEZ LARRAZ, FRANCISCO DE BORJA
EU24;ESTADO;PP;GONZALEZ PONS, ESTEBAN
EU24;ESTADO;PP;HERRANZ GARCIA, MARIA ESTHER
EU24;ESTADO;PP;LOPEZ-ISTURIZ WHITE, ANTONIO JAVIER
EU24;ESTADO;PP;MATO ADROVER, GABRIEL
EU24;ESTADO;PP;MILLAN MON, FRANCISCO JOSE RICARDO
EU24;ESTADO;PP;MONTSERRAT MONTSERRAT, DOLORS
EU24;ESTADO;PP;NAVARRETE ROJAS, FERNANDO FRANCISCO
EU24;ESTADO;PP;NEVADO DEL CAMPO, MARIA ELENA
EU24;ESTADO;PP;PASCUAL DE LA PARTE, NICOLAS
EU24;ESTADO;PP;SOLIS PEREZ, SUSANA
EU24;ESTADO;PP;VAZQUEZ LAZARA, ADRIAN
EU24;ESTADO;PP;ZARZALEJOS NIETO, FRANCISCO JAVIER
EU24;ESTADO;PP;ZOIDO ALVAREZ, JUAN IGNACIO
EU24;ESTADO;PSOE;BALLARIN CEREZA, LAURA
EU24;ESTADO;PSOE;CEPEDA GARCIA DE LEON, JOSE CARMELO
EU24;ESTADO;PSOE;FERNANDEZ ALVAREZ, JONAS
EU24;ESTADO;PSOE;GALVEZ MUÑOZ, LINA
EU24;ESTADO;PSOE;GARCIA PEREZ, IRATXE
EU24;ESTADO;PSOE;GOMEZ LOPEZ, SANDRA
EU24;ESTADO;PSOE;GONZALEZ CASARES, NICOLAS
EU24;ESTADO;PSOE;JALLOUL MURO, HANA
EU24;ESTADO;PSOE;LOPEZ AGUILAR, JUAN FERNANDO
EU24;ESTADO;PSOE;LOPEZ FERNANDEZ, JAVIER
EU24;ESTADO;PSOE;LUENA LOPEZ, CESAR
EU24;ESTADO;PSOE;MAESTRE MARTIN DE ALMAGRO, CRISTINA
EU24;ESTADO;PSOE;MENDIA CUEVA, IDOIA
EU24;ESTADO;PSOE;MORENO SANCHEZ, JAVIER
EU24;ESTADO;PSOE;PAJIN IRAOLA, LEIRE
EU24;ESTADO;PSOE;RIBERA RODRIGUEZ, TERESA
EU24;ESTADO;PSOE;ROS SEMPERE, MARCOS
EU24;ESTADO;PSOE;SANCHEZ AMOR, IGNACIO
EU24;ESTADO;PSOE;SANCHO MURILLO, ELENA
EU24;ESTADO;PSOE;SERRANO SIERRA, ROSA
EU24;ESTADO;SE ACABO LA FIESTA;JUNCO GARCIA, NORA
EU24;ESTADO;SE ACABO LA FIESTA;PEREZ FERNANDEZ, LUIS
EU24;ESTADO;SE ACABO LA FIESTA;SOLIER FERNANDEZ, DIEGO
EU24;ESTADO;SUMAR... (E24);ASENS LLODRA, JAUME
EU24;ESTADO;SUMAR... (E24);GALAN PEREZ, ESTRELLA
EU24;ESTADO;SUMAR... (E24);MARZA IBAÑEZ, VICENT
EU24;ESTADO;VOX;BORRAS PABON, MIREIA
EU24;ESTADO;VOX;BUXADE VILLALBA, JORGE
EU24;ESTADO;VOX;DE LA PISA CARRION, MARGARITA
EU24;ESTADO;VOX;GIRAUTA VIDAL, JUAN CARLOS
EU24;ESTADO;VOX;MARTIN FRIAS, JORGE
EU24;ESTADO;VOX;TERTSCH DEL VALLE-LERSUNDI, HERMANN LEOPOLD
