Provincias;Sexo;Periodo;Total
Total;Total;2021;47.385.107
Total;Total;2020;47.450.795
Total;Total;2019;47.026.208
Total;Total;2018;46.722.980
Total;Total;2017;46.572.132
Total;Total;2016;46.557.008
Total;Total;2014;46.727.890
Albacete;Total;2021;386.464
Albacete;Total;2020;388.270
Albacete;Total;2019;388.167
Albacete;Total;2018;388.786
Albacete;Total;2017;390.032
Albacete;Total;2016;392.118
Albacete;Total;2014;399.510
Alicante/Alacant;Total;2021;1.881.762
Alicante/Alacant;Total;2020;1.879.888
Alicante/Alacant;Total;2019;1.858.683
Alicante/Alacant;Total;2018;1.838.819
Alicante/Alacant;Total;2017;1.825.332
Alicante/Alacant;Total;2016;1.836.459
Alicante/Alacant;Total;2014;1.854.244
Almería;Total;2021;731.792
Almería;Total;2020;727.945
Almería;Total;2019;716.820
Almería;Total;2018;709.340
Almería;Total;2017;706.672
Almería;Total;2016;704.297
Almería;Total;2014;691.680
Araba/Álava;Total;2021;333.626
Araba/Álava;Total;2020;333.940
Araba/Álava;Total;2019;331.549
Araba/Álava;Total;2018;328.868
Araba/Álava;Total;2017;326.574
Araba/Álava;Total;2016;324.126
Araba/Álava;Total;2014;319.927
Asturias;Total;2021;1.011.792
Asturias;Total;2020;1.018.784
Asturias;Total;2019;1.022.800
Asturias;Total;2018;1.028.244
Asturias;Total;2017;1.034.960
Asturias;Total;2016;1.042.608
Asturias;Total;2014;1.067.802
Ávila;Total;2021;158.421
Ávila;Total;2020;157.664
Ávila;Total;2019;157.640
Ávila;Total;2018;158.498
Ávila;Total;2017;160.700
Ávila;Total;2016;162.514
Ávila;Total;2014;169.458
Badajoz;Total;2021;669.943
Badajoz;Total;2020;672.137
Badajoz;Total;2019;673.559
Badajoz;Total;2018;676.376
Badajoz;Total;2017;679.884
Badajoz;Total;2016;684.113
Badajoz;Total;2014;690.894
Balears, Illes;Total;2021;1.173.008
Balears, Illes;Total;2020;1.171.543
Balears, Illes;Total;2019;1.149.460
Balears, Illes;Total;2018;1.128.908
Balears, Illes;Total;2017;1.115.999
Balears, Illes;Total;2016;1.107.220
Balears, Illes;Total;2014;1.110.115
Barcelona;Total;2021;5.714.730
Barcelona;Total;2020;5.743.402
Barcelona;Total;2019;5.664.579
Barcelona;Total;2018;5.609.350
Barcelona;Total;2017;5.576.037
Barcelona;Total;2016;5.542.680
Barcelona;Total;2014;5.493.078
Bizkaia;Total;2021;1.154.334
Bizkaia;Total;2020;1.159.443
Bizkaia;Total;2019;1.152.651
Bizkaia;Total;2018;1.149.628
Bizkaia;Total;2017;1.148.302
Bizkaia;Total;2016;1.147.576
Bizkaia;Total;2014;1.148.871
Burgos;Total;2021;356.055
Burgos;Total;2020;357.650
Burgos;Total;2019;356.958
Burgos;Total;2018;357.070
Burgos;Total;2017;358.171
Burgos;Total;2016;360.995
Burgos;Total;2014;368.701
Cáceres;Total;2021;389.558
Cáceres;Total;2020;391.850
Cáceres;Total;2019;394.151
Cáceres;Total;2018;396.487
Cáceres;Total;2017;400.036
Cáceres;Total;2016;403.665
Cáceres;Total;2014;410.074
Cádiz;Total;2021;1.245.960
Cádiz;Total;2020;1.244.049
Cádiz;Total;2019;1.240.155
Cádiz;Total;2018;1.238.714
Cádiz;Total;2017;1.239.435
Cádiz;Total;2016;1.239.889
Cádiz;Total;2014;1.247.578
Cantabria;Total;2021;584.507
Cantabria;Total;2020;582.905
Cantabria;Total;2019;581.078
Cantabria;Total;2018;580.229
Cantabria;Total;2017;580.295
Cantabria;Total;2016;582.206
Cantabria;Total;2014;590.037
Castellón/Castelló;Total;2021;587.064
Castellón/Castelló;Total;2020;585.590
Castellón/Castelló;Total;2019;579.962
Castellón/Castelló;Total;2018;576.898
Castellón/Castelló;Total;2017;575.470
12 Castellón/Castelló;Total;2016;579.245
12 Castellón/Castelló;Total;2014;585.729
13 Ciudad Real;Total;2021;492.591
13 Ciudad Real;Total;2020;495.045
13 Ciudad Real;Total;2019;495.761
13 Ciudad Real;Total;2018;499.100
13 Ciudad Real;Total;2017;502.578
13 Ciudad Real;Total;2016;506.888
13 Ciudad Real;Total;2014;522.749
14 Córdoba;Total;2021;776.789
14 Córdoba;Total;2020;781.451
14 Córdoba;Total;2019;782.979
14 Córdoba;Total;2018;785.240
14 Córdoba;Total;2017;788.219
14 Córdoba;Total;2016;791.610
14 Córdoba;Total;2014;800.414
15 Coruña, A;Total;2021;1.120.134
15 Coruña, A;Total;2020;1.121.815
15 Coruña, A;Total;2019;1.119.596
15 Coruña, A;Total;2018;1.119.351
15 Coruña, A;Total;2017;1.120.294
15 Coruña, A;Total;2016;1.122.799
15 Coruña, A;Total;2014;1.138.494
16 Cuenca;Total;2021;195.516
16 Cuenca;Total;2020;196.139
16 Cuenca;Total;2019;196.329
16 Cuenca;Total;2018;197.222
16 Cuenca;Total;2017;198.718
16 Cuenca;Total;2016;201.071
16 Cuenca;Total;2014;211.796
20 Gipuzkoa;Total;2021;726.033
20 Gipuzkoa;Total;2020;727.121
20 Gipuzkoa;Total;2019;723.576
20 Gipuzkoa;Total;2018;720.592
20 Gipuzkoa;Total;2017;719.282
20 Gipuzkoa;Total;2016;717.832
20 Gipuzkoa;Total;2014; 708.207
17 Girona;Total;2021;786.596
17 Girona;Total;2020;781.788
17 Girona;Total;2019;771.044
17 Girona;Total;2018;761.947
17 Girona;Total;2017;755.716
17 Girona;Total;2016;753.576
17 Girona;Total;2014;749.191
18 Granada;Total;2021;921.338
18 Granada;Total;2020;919.168
