Provincias,Sexo,Periodo,Total
Albacete,Total,2024,389.070
Albacete,Total,2019,388.167
Albacete,Total,2014,399.510
Alicante/Alacant,Total,2024,1.993.289
Alicante/Alacant,Total,2019,1.858.683
Alicante/Alacant,Total,2014,1.854.244
Almería,Total,2024,760.964
Almería,Total,2019,716.820
Almería,Total,2014,691.680
Araba/Álava,Total,2024,338.594
Araba/Álava,Total,2019,331.549
Araba/Álava,Total,2014,319.927
Asturias,Total,2024,1.009.599
Asturias,Total,2019,1.022.800
Asturias,Total,2014,1.067.802
Badajoz,Total,2024,666.029
Badajoz,Total,2019,673.559
Badajoz,Total,2014,690.894
"Balears, Illes",Total,2024,1.231.768
"Balears, Illes",Total,2019,1.149.460
"Balears, Illes",Total,2014,1.110.115
Barcelona,Total,2024,5.877.672
Barcelona,Total,2019,5.664.579
Barcelona,Total,2014,5.493.078
Bizkaia,Total,2024,1.159.368
Bizkaia,Total,2019,1.152.651
Bizkaia,Total,2014,1.148.871
Burgos,Total,2024,359.740
Burgos,Total,2019,356.958
Burgos,Total,2014,368.701
Cantabria,Total,2024,590.851
Cantabria,Total,2019,581.078
Cantabria,Total,2014,590.037
Castellón/Castelló,Total,2024,615.188
Castellón/Castelló,Total,2019,579.962
Castellón/Castelló,Total,2014,585.729
Ceuta,Total,2024,83.179
Ceuta,Total,2019,84.777
Ceuta,Total,2014,84.534
Ciudad Real,Total,2024,492.948
Ciudad Real,Total,2019,495.761
Ciudad Real,Total,2014,522.749
"Coruña, A",Total,2024,1.128.449
"Coruña, A",Total,2019,1.119.596
"Coruña, A",Total,2014,1.138.494
Cuenca,Total,2024,199.025
Cuenca,Total,2019,196.329
Cuenca,Total,2014,211.796
Cáceres,Total,2024,388.652
Cáceres,Total,2019,394.151
Cáceres,Total,2014,410.074
Cádiz,Total,2024,1.258.730
Cádiz,Total,2019,1.240.155
Cádiz,Total,2014,1.247.578
Córdoba,Total,2024,774.313
Córdoba,Total,2019,782.979
Córdoba,Total,2014,800.414
Gipuzkoa,Total,2024,729.722
Gipuzkoa,Total,2019,723.576
Gipuzkoa,Total,2014, 708.207
Girona,Total,2024,821.108
Girona,Total,2019,771.044
Girona,Total,2014,749.191
Granada,Total,2024,939.741
Granada,Total,2019,914.678
Granada,Total,2014,922.138
Guadalajara,Total,2024,280.225
Guadalajara,Total,2019,257.762
Guadalajara,Total,2014,257.101
Huelva,Total,2024,535.734
Huelva,Total,2019,521.870
Huelva,Total,2014,520.948
Huesca,Total,2024,228.519
Huesca,Total,2019,220.461
Huesca,Total,2014,224.688
Jaén,Total,2024,619.055
Jaén,Total,2019,633.564
Jaén,Total,2014,661.716
León,Total,2024,447.802
León,Total,2019,460.001
León,Total,2014,489.239
Lleida,Total,2024,451.707
Lleida,Total,2019,434.930
Lleida,Total,2014,435.847
Lugo,Total,2024,325.048
Lugo,Total,2019,329.587
Lugo,Total,2014, 344.845
Madrid,Total,2024,7.009.268
Madrid,Total,2019,6.663.394
Madrid,Total,2014,6.414.709
Melilla,Total,2024,85.985
Melilla,Total,2019,86.487
Melilla,Total,2014,83.619
Murcia,Total,2024,1.568.492
Murcia,Total,2019,1.493.898
Murcia,Total,2014,1.461.987
Málaga,Total,2024,1.774.701
Málaga,Total,2019,1.661.785
Málaga,Total,2014,1.611.983
Navarra,Total,2024,678.333
Navarra,Total,2019,654.214
Navarra,Total,2014,638.949
Ourense,Total,2024,304.467
Ourense,Total,2019,307.651
Ourense,Total,2014,325.389
Palencia,Total,2024,158.063
Palencia,Total,2019,160.980
Palencia,Total,2014,168.749
"Palmas, Las",Total,2024,1.159.890
"Palmas, Las",Total,2019,1.120.406
"Palmas, Las",Total,2014,1.098.235
Pontevedra,Total,2024,947.869
Pontevedra,Total,2019,942.665
Pontevedra,Total,2014,953.241
"Rioja, La",Total,2024,324.184
"Rioja, La",Total,2019,316.798
"Rioja, La",Total,2014,318.639
Salamanca,Total,2024,327.552
Salamanca,Total,2019,330.119
Salamanca,Total,2014, 347.249
Santa Cruz de Tenerife,Total,2024,1.078.864
Santa Cruz de Tenerife,Total,2019,1.032.983
Santa Cruz de Tenerife,Total,2014,1.006.997
Segovia,Total,2024,156.620
Segovia,Total,2019,153.129
Segovia,Total,2014, 161.374
Sevilla,Total,2024,1.968.624
Sevilla,Total,2019,1.942.389
Sevilla,Total,2014,1.936.703
Soria,Total,2024,90.073
Soria,Total,2019,88.636
Soria,Total,2014,93.575
Tarragona,Total,2024,861.744
Tarragona,Total,2019,804.664
Tarragona,Total,2014,802.806
Teruel,Total,2024,135.309
Teruel,Total,2019,134.137
Teruel,Total,2014,141.113
Toledo,Total,2024,743.165
Toledo,Total,2019,694.844
Toledo,Total,2014,703.236
Total,Total,2024,48.619.695
Total,Total,2019,47.026.208
Total,Total,2014,46.727.890
Valencia/València,Total,2024,2.710.808
Valencia/València,Total,2019,2.565.124
Valencia/València,Total,2014,2.547.044
Valladolid,Total,2024,525.116
Valladolid,Total,2019,519.546
Valladolid,Total,2014,531.141
Zamora,Total,2024,166.253
Zamora,Total,2019,172.539
Zamora,Total,2014,189.042
Zaragoza,Total,2024,987.763
Zaragoza,Total,2019,964.693
Zaragoza,Total,2014,972.508
Ávila,Total,2024,160.463
Ávila,Total,2019,157.640
Ávila,Total,2014,169.458
