Unnamed: 0,Titulares,NUMERODECLARACIONES,NUMEROHABITANTES,POSICIONAMIENTORENTA BRUTA MEDIANIVELNACIONAL,POSICIONAMIENTORENTA BRUTA MEDIANIVELAUTONÓMICO,RENTA BRUTA MEDIA,RENTA BRUTA MEDIANA,RENTA DISPONIBLEMEDIA,RENTA DISPONIBLEMEDIANA
Total,25455149,22898072,45131655,,,30400,23053,24542,19774
Andalucía,4672424,4092833,8568513,,,25203,19359,20854,17026
Almería,409403,370379,753920,,,22508,16528,18819,15015
Almería-04013,117580,106501,200578,907,45,26993,21215,22002,18428
Pulpí-04075,6317,5843,11247,1081,60,25796,16410,21334,14698
Mojácar-04064,3567,3281,7386,1201,70,25093,17031,20643,15352
Carboneras-04032,4579,3947,8375,1311,82,24589,18916,20492,16820
Huércal de Almería-04052,10579,9550,18507,1324,84,24520,20707,20342,17969
Macael-04062,2915,2402,5381,1448,98,23869,20862,19820,18262
Olula del Río-04069,3547,2994,6354,1455,100,23827,19892,19686,17507
Roquetas de Mar-04079,57414,52947,106510,1506,107,23466,16500,19440,14946
Vera-04100,9623,8601,18919,1529,108,23306,17003,19306,15328
Tíjola-04092,1765,1562,3518,1545,110,23218,19226,19354,16689
Huércal-Overa-04053,10618,9565,20425,1725,135,22343,17820,18765,15847
Purchena-04076,740,646,1551,1774,144,22120,18997,18645,16637
Albox-04006,5950,5267,12311,1775,145,22117,16749,18604,15227
Serón-04083,953,851,2105,1847,151,21810,18487,18386,16009
Benahadux-04024,2504,2201,4643,1864,153,21725,18345,18395,16158
Fines-04044,1094,951,2235,1981,175,21223,18702,17878,16123
Pechina-04074,2097,1860,4358,2099,196,20635,16813,17585,15263
Garrucha-04049,5099,4505,10336,2121,205,20569,16176,17465,14766
Viator-04101,3030,2676,6160,2127,208,20524,17603,17593,15879
Antas-04016,1836,1617,3417,2221,228,20010,16398,17009,14806
Cantoria-04031,1690,1483,3573,2259,233,19849,16390,16966,15130
Cuevas del Almanzora-04035,7922,7015,15023,2267,235,19822,16297,16981,14761
"Ejido, El-04902",48919,44791,89975,2287,240,19748,14460,16772,13503
Alhama de Almería-04011,2010,1730,3817,2305,244,19659,16563,16955,15012
"Gallardos, Los-04048",1582,1400,3034,2307,245,19648,15515,16959,14467
Vélez-Rubio-04099,3756,3335,6558,2336,256,19500,15829,16785,14651
Dalías-04038,2126,1888,4202,2371,275,19316,14968,16621,13905
Gádor-04047,1433,1259,3029,2384,279,19247,15899,16514,14610
Rioja-04078,714,637,1594,2431,294,19001,16667,16336,15185
Turre-04093,1996,1802,4092,2438,297,18957,15319,16318,14173
Adra-04003,13225,11772,25195,2444,300,18938,14726,16308,13727
Bédar-04022,488,426,1012,2457,307,18875,14891,16518,14177
Fondón-04046,533,462,1094,2505,329,18604,16303,15959,14772
Sorbas-04086,1224,1072,2527,2530,339,18447,14643,16009,13983
Zurgena-04103,1537,1352,2972,2532,341,18427,15327,16155,14392
Balanegra-04904,1752,1586,2931,2552,353,18321,14497,15918,13556
Abla-04001,604,546,1255,2561,357,18289,13993,15843,13380
Tabernas-04088,1874,1708,4032,2573,363,18212,15172,15798,14061
Chirivel-04037,813,727,1540,2582,366,18132,14582,15796,14039
Arboleas-04017,2117,1880,4439,2594,372,18053,14736,15796,14086
Berja-04029,6619,5871,12917,2598,375,18039,14521,15600,13559
Vélez-Blanco-04098,993,903,1914,2604,378,17991,14763,15718,14012
Vícar-04102,14553,13452,28245,2631,391,17794,14284,15497,13392
Lubrín-04059,700,629,1422,2710,430,17165,13754,15252,13126
Fiñana-04045,1183,1039,1991,2711,431,17165,14728,15180,13771
Gérgal-04050,453,406,1191,2724,439,17061,13823,15046,13056
Abrucena-04002,641,567,1275,2728,441,17047,13428,15133,13092
Láujar de Andarax-04057,850,710,1611,2783,476,16588,14325,14430,13281
Oria-04070,1087,950,2233,2785,478,16586,13738,14604,13305
María-04063,735,664,1209,2788,480,16554,13824,14663,13240
Níjar-04066,19245,17757,32858,2797,487,16430,13523,14502,12739
