Provincia,Número de declaraciones,Renta bruta media,Número de municipios,Rentas  del trabajo,Rentas exentas,Renta bruta,Cotizaciones sociales a la SS,Cuota resultante de la autoliquidación,Renta disponible,id_provincia
Total,19359020,24568,7590,383075704,17437729,475612019,18679070,68433561,388514282,
Andalucía,3243402,20707,774,54812220,2687841,67162001,2687269,8262107,56215024,
Almería,271612,18666,102,4062063,154668,5069813,206119,588590,4275228,4.0
Cádiz,442255,21760,44,8105705,402192,9623629,387865,1193432,8042520,11.0
Córdoba,332680,19111,75,5185731,197884,6357850,254535,734713,5368731,14.0
Granada,369563,20646,169,6099316,348736,7630033,291624,925465,6413155,18.0
Huelva,207008,19051,79,3346521,155694,3943670,166901,455196,3321671,21.0
Jaén,284036,17693,97,4067546,223735,5025503,189949,513294,4322330,23.0
Málaga,592183,21409,103,10062496,545256,12678038,502199,1587386,10589507,29.0
Sevilla,744065,22624,105,13882844,659675,16833464,688077,2264032,13881883,41.0
Aragón,683236,24014,730,13133113,618394,16407491,652672,2245674,13509589,
Huesca,110777,22385,202,1896135,92286,2479701,96421,315119,2068194,22.0
Teruel,69817,20904,235,1173955,52322,1459422,59665,176458,1223333,44.0
Zaragoza,502642,24806,293,10063024,473786,12468368,496587,1754097,10218062,50.0
Principado de Asturias,511584,24819,78,10452427,595097,12696940,519923,1758402,10418993,
Asturias,511584,24819,78,10452427,595097,12696940,519923,1758402,10418993,33.0
Illes Balears,480427,24692,67,9005983,292332,11862618,458057,1730004,9674794,
"Balears, Illes",480427,24692,67,9005983,292332,11862618,458057,1730004,9674794,7.0
Canarias,772173,22202,88,13989048,477119,17143499,695736,2269211,14179010,
"Palmas, Las",408027,22734,34,7558153,267558,9276126,379865,1241798,7654659,35.0
Santa Cruz de Tenerife,364146,21605,54,6430895,209562,7867373,315871,1027414,6524350,38.0
Cantabria,274753,24283,102,5439897,243735,6671902,261219,898010,5512857,39.0
Cantabria,274753,24283,102,5439897,243735,6671902,261219,898010,5512857,39.0
Castilla-La Mancha,894686,20553,919,15133237,681339,18388288,775705,2116842,15496212,
Albacete,174026,20177,87,2876301,117017,3511340,147466,405236,2958705,2.0
Ciudad Real,210956,20201,102,3464630,177229,4261615,169586,487110,3605021,13.0
Cuenca,91117,18619,239,1339119,66740,1696541,65794,173498,1457275,16.0
Guadalajara,114813,24085,287,2335564,115585,2765324,120837,356920,2287658,19.0
Toledo,303774,20257,204,5117624,204769,6153468,272023,694078,5187554,45.0
Castilla y León,1226901,22329,2248,22166094,955420,27394895,1066749,3505257,22824135,
Avila,74422,19333,248,1156142,48513,1438832,53401,162436,1223043,
Burgos,192082,23917,371,3740725,149220,4593949,180574,621725,3791872,9.0
León,231010,22075,211,4150159,200064,5099630,212045,635059,4253120,24.0
Palencia,83288,21882,191,1456271,64989,1822526,72040,224883,1525666,34.0
Salamanca,163462,21539,362,2837711,107325,3520759,128860,448386,2943595,37.0
Segovia,74175,21664,209,1257096,56816,1606912,61547,197309,1348077,40.0
Soria,48991,21555,183,839227,30604,1056006,39831,130237,885968,42.0
Valladolid,274286,24153,225,5457502,237684,6624923,261245,902781,5461056,47.0
Zamora,85185,19151,248,1271262,60206,1631358,57205,182441,1391739,49.0
Cataluña,3479147,27675,942,75817050,3782738,96284029,3736368,14996243,77554113,
Barcelona,2603069,28890,311,59061658,3046758,75202832,2873612,12097660,60233758,8.0
Girona,326991,24615,221,6269491,243942,8048738,333456,1126665,6588768,17.0
Lleida,200217,22866,226,3550506,178153,4578191,185321,601834,3791116,25.0
Tarragona,348870,24233,184,6935395,313885,8454268,343979,1170084,6940471,43.0
Extremadura,472330,18619,388,7108930,335449,8794083,331470,985642,7477183,
Badajoz,285004,18668,165,4289179,197333,5320380,203825,592545,4524124,6.0
Cáceres,187326,18544,223,2819752,138116,3473703,127644,393097,2953058,10.0
Galicia,1272279,21672,314,22532169,962863,27572835,1087172,3591784,22894595,
"Coruña, A",545803,22966,93,10246845,429875,12534861,494370,1724128,10316763,15.0
Lugo,163515,19297,67,2513063,122000,3155415,119393,373970,2662082,27.0
Ourense,146992,19608,92,2329372,111661,2882218,103462,341073,2437791,32.0
Pontevedra,415969,21637,62,7442889,299327,9000342,369948,1152613,7477959,36.0
Comunidad de Madrid,3103908,32281,179,80850687,3524093,100196471,3744629,17668300,78787147,
Madrid,3103908,32281,179,80850687,3524093,100196471,3744629,17668300,78787147,28.0
Región de Murcia,581017,21290,45,10139966,442996,12369695,521752,1526498,10321689,
Murcia,581017,21290,45,10139966,442996,12369695,521752,1526498,10321689,30.0
La Rioja,161517,23187,173,2931144,127167,3745081,146844,497917,3100423,
"Rioja, La",161517,23187,173,2931144,127167,3745081,146844,497917,3100423,26.0
Comunidad Valenciana,2142238,22032,540,38162843,1657052,47198455,1930382,6237728,39031789,
Alicante/Alacant,710954,20454,141,11682083,390941,14541706,594578,1803481,12144125,3.0
Castellón/Castelló,271357,21605,135,4780016,198825,5862784,245940,774177,4842895,12.0
Valencia/València,1159927,23100,264,21700744,1067286,26793965,1089864,3660070,22044769,46.0
Ceuta,27949,30026,1,703394,18298,839200,31440,69792,737972,51.0
Ceuta,27949,30026,1,703394,18298,839200,31440,69792,737972,51.0
Melilla,27418,28712,1,638331,19218,787228,28439,62132,696663,52.0
Melilla,27418,28712,1,638331,19218,787228,28439,62132,696663,52.0
No residentes,4055,23997,1,59170,16577,97308,3243,12016,82094,
No residentes,4055,23997,1,59170,16577,97308,3243,12016,82094,
