Unnamed: 0,Número de declaraciones,Renta bruta media,Número de municipios,Rentas  del trabajo,Rentas exentas,Renta bruta,Cotizaciones sociales a la SS,Cuota resultante de la autoliquidación,Renta disponible
Total,19621728,25950,7591,408902664,16288184,509192179,19453744,70495199,419259939
Andalucía,3315566,21799,777,58651421,2681792,72274503,2825936,8525419,60925789
Almería,287451,19662,103,4474759,161826,5651733,223840,628208,4799810
Cádiz,450598,22894,44,8679045,405551,10316117,408109,1210278,8698009
Córdoba,333901,20251,75,5483952,203808,6761766,265268,762842,5733917
Granada,376244,21660,171,6515808,344726,8149356,305121,950014,6894419
Huelva,215673,19585,79,3606559,136392,4223919,176996,462976,3584051
Jaén,288760,19056,97,4295912,234669,5502672,197716,561406,4743605
Málaga,618263,22631,103,10979099,554602,13991631,540292,1676482,11775853
Sevilla,744676,23738,105,14616287,640218,17677309,708593,2273213,14696125
Aragón,682736,24742,731,13813357,501999,16892215,679284,2209329,14004000
Huesca,110622,22991,202,2001771,74860,2543286,101769,306205,2135332
Teruel,69329,21370,236,1220390,40101,1481577,61435,171101,1249086
Zaragoza,502785,25592,293,10591196,387037,12867352,516080,1732023,10619582
"Asturias, Principado de",507731,25502,78,10759438,532841,12948048,512702,1674878,10760848
Asturias,507731,25502,78,10759438,532841,12948048,512702,1674878,10760848
"Balears, Illes",502279,26790,67,9872426,312135,13455877,498101,1899398,11058660
"Balears, Illes",502279,26790,67,9872426,312135,13455877,498101,1899398,11058660
Canarias,814502,23243,88,15240285,491130,18931112,749023,2345358,15837487
"Palmas, Las",428939,23857,34,8213230,281385,10233276,408038,1284013,8541520
Santa Cruz de Tenerife,385563,22559,54,7027055,209745,8697836,340985,1061345,7295967
Cantabria,276160,24989,102,5675988,213333,6900877,268203,881770,5751121
Cantabria,276160,24989,102,5675988,213333,6900877,268203,881770,5751121
Castilla-La Mancha,899254,21449,919,15947144,654077,19288078,804674,2116245,16367831
Albacete,176136,21254,87,3054702,114791,3743531,154300,414227,3175044
Ciudad Real,211343,21062,102,3627016,179196,4451223,176123,484654,3790532
Cuenca,91647,19482,239,1414414,64790,1785460,68946,176726,1539808
Guadalajara,118159,24941,287,2514262,103476,2946971,127054,363146,2456858
Toledo,301969,21065,204,5336750,191823,6360892,278252,677493,5405590
Castilla y León,1233541,23119,2247,23388080,840127,28518841,1097107,3377824,24044772
Avila,75489,19975,248,1228668,46856,1507916,55776,155605,1296576
Burgos,193430,24552,371,3964539,115293,4749095,188163,589973,3971135
León,231436,22822,211,4345733,179222,5281751,211069,611921,4458913
Palencia,84680,22696,191,1570192,52591,1921871,75511,219529,1626865
Salamanca,164857,22478,362,2992789,104595,3705686,133001,437969,3134808
Segovia,75188,22481,209,1340157,48602,1690281,64725,194081,1431541
Soria,49213,22181,182,889585,24768,1091609,41772,124376,925494
Valladolid,274137,25169,225,5721630,216167,6899838,267853,873209,5758997
Zamora,85111,19631,248,1334786,52033,1670794,59239,171161,1440442
Cataluña,3502447,29541,942,81373366,3531896,103465362,3920939,15743600,83803975
Barcelona,2623187,30919,311,63510867,2825323,81106605,3017311,12760069,65331842
Girona,328059,26228,221,6702571,238349,8604283,351632,1169334,7083515
Lleida,198704,24110,226,3769632,165509,4790793,193195,613386,3984367
Tarragona,352497,25429,184,7390296,302715,8963681,358801,1200811,7404250
Extremadura,464536,19389,388,7299721,322637,9006991,334002,979363,7693790
Badajoz,282886,19478,165,4448771,196271,5509973,207423,596088,4706560
Cáceres,181650,19251,223,2850950,126366,3497018,126579,383275,2987230
Galicia,1276675,22762,313,23970309,865920,29060041,1125642,3627428,24308038
"Coruña, A",547104,24153,93,10937181,376857,13213975,512285,1753238,10948939
Lugo,160796,20429,67,2626988,113811,3284951,122599,375616,2786816
Ourense,145776,20436,92,2444307,98634,2979051,106716,333241,2539233
Pontevedra,422999,22653,61,7961833,276617,9582064,384042,1165332,8033049
"Madrid, Comunidad de",3188297,34272,179,87152577,3188731,109270345,3877612,18395696,87001041
Madrid,3188297,34272,179,87152577,3188731,109270345,3877612,18395696,87001041
"Murcia, Región de",595629,22286,45,10916684,446696,13274341,550995,1570527,11153125
Murcia,595629,22286,45,10916684,446696,13274341,550995,1570527,11153125
"Rioja, La",162688,24394,172,3137509,105682,3968673,156323,510558,3301909
"Rioja, La",162688,24394,172,3137509,105682,3968673,156323,510558,3301909
Comunitat Valenciana,2137555,23436,540,40229151,1524390,50094776,1987961,6497117,41611305
Alicante/Alacant,717331,21585,141,12382839,370187,15483327,619375,1871282,12993266
Castellón/Castelló,269959,23074,135,5053626,191480,6229032,254958,802109,5172159
Valencia/València,1150265,24675,264,22792686,962723,28382418,1113628,3823726,23445880
Ceuta,28928,30234,1,732968,21891,874615,32051,65510,777062
Ceuta,28928,30234,1,732968,21891,874615,32051,65510,777062
Melilla,28775,29540,1,678289,26624,850004,29775,61667,758566
Melilla,28775,29540,1,678289,26624,850004,29775,61667,758566
No residentes,4429,26525,1,63953,26281,117480,3415,13514,100621
No residentes,4429,26525,1,63953,26281,117480,3415,13514,100621
