,Provincias,Sexo,Periodo,Total,CodigoProvincia
0,Albacete,Total,2024,389.070,2
1,Albacete,Total,2019,388.167,2
2,Albacete,Total,2014,399.510,2
3,Alicante/Alacant,Total,2024,1.993.289,3
4,Alicante/Alacant,Total,2019,1.858.683,3
5,Alicante/Alacant,Total,2014,1.854.244,3
6,Almería,Total,2024,760.964,4
7,Almería,Total,2019,716.820,4
8,Almería,Total,2014,691.680,4
9,Araba/Álava,Total,2024,338.594,1
10,Araba/Álava,Total,2019,331.549,1
11,Araba/Álava,Total,2014,319.927,1
12,Asturias,Total,2024,1.009.599,33
13,Asturias,Total,2019,1.022.800,33
14,Asturias,Total,2014,1.067.802,33
15,Badajoz,Total,2024,666.029,6
16,Badajoz,Total,2019,673.559,6
17,Badajoz,Total,2014,690.894,6
18,"Balears, Illes",Total,2024,1.231.768,7
19,"Balears, Illes",Total,2019,1.149.460,7
20,"Balears, Illes",Total,2014,1.110.115,7
21,Barcelona,Total,2024,5.877.672,8
22,Barcelona,Total,2019,5.664.579,8
23,Barcelona,Total,2014,5.493.078,8
24,Bizkaia,Total,2024,1.159.368,48
25,Bizkaia,Total,2019,1.152.651,48
26,Bizkaia,Total,2014,1.148.871,48
27,Burgos,Total,2024,359.740,9
28,Burgos,Total,2019,356.958,9
29,Burgos,Total,2014,368.701,9
30,Cantabria,Total,2024,590.851,39
31,Cantabria,Total,2019,581.078,39
32,Cantabria,Total,2014,590.037,39
33,Castellón/Castelló,Total,2024,615.188,12
34,Castellón/Castelló,Total,2019,579.962,12
35,Castellón/Castelló,Total,2014,585.729,12
36,Ceuta,Total,2024,83.179,51
37,Ceuta,Total,2019,84.777,51
38,Ceuta,Total,2014,84.534,51
39,Ciudad Real,Total,2024,492.948,13
40,Ciudad Real,Total,2019,495.761,13
41,Ciudad Real,Total,2014,522.749,13
42,"Coruña, A",Total,2024,1.128.449,15
43,"Coruña, A",Total,2019,1.119.596,15
44,"Coruña, A",Total,2014,1.138.494,15
45,Cuenca,Total,2024,199.025,16
46,Cuenca,Total,2019,196.329,16
47,Cuenca,Total,2014,211.796,16
48,Cáceres,Total,2024,388.652,10
49,Cáceres,Total,2019,394.151,10
50,Cáceres,Total,2014,410.074,10
51,Cádiz,Total,2024,1.258.730,11
52,Cádiz,Total,2019,1.240.155,11
53,Cádiz,Total,2014,1.247.578,11
54,Córdoba,Total,2024,774.313,14
55,Córdoba,Total,2019,782.979,14
56,Córdoba,Total,2014,800.414,14
57,Gipuzkoa,Total,2024,729.722,20
58,Gipuzkoa,Total,2019,723.576,20
59,Gipuzkoa,Total,2014, 708.207,20
60,Girona,Total,2024,821.108,17
61,Girona,Total,2019,771.044,17
62,Girona,Total,2014,749.191,17
63,Granada,Total,2024,939.741,18
64,Granada,Total,2019,914.678,18
65,Granada,Total,2014,922.138,18
66,Guadalajara,Total,2024,280.225,19
67,Guadalajara,Total,2019,257.762,19
68,Guadalajara,Total,2014,257.101,19
69,Huelva,Total,2024,535.734,21
70,Huelva,Total,2019,521.870,21
71,Huelva,Total,2014,520.948,21
72,Huesca,Total,2024,228.519,22
73,Huesca,Total,2019,220.461,22
74,Huesca,Total,2014,224.688,22
75,Jaén,Total,2024,619.055,23
76,Jaén,Total,2019,633.564,23
77,Jaén,Total,2014,661.716,23
78,León,Total,2024,447.802,24
79,León,Total,2019,460.001,24
80,León,Total,2014,489.239,24
81,Lleida,Total,2024,451.707,25
82,Lleida,Total,2019,434.930,25
83,Lleida,Total,2014,435.847,25
84,Lugo,Total,2024,325.048,27
85,Lugo,Total,2019,329.587,27
86,Lugo,Total,2014, 344.845,27
87,Madrid,Total,2024,7.009.268,28
88,Madrid,Total,2019,6.663.394,28
89,Madrid,Total,2014,6.414.709,28
90,Melilla,Total,2024,85.985,52
91,Melilla,Total,2019,86.487,52
92,Melilla,Total,2014,83.619,52
93,Murcia,Total,2024,1.568.492,30
94,Murcia,Total,2019,1.493.898,30
95,Murcia,Total,2014,1.461.987,30
96,Málaga,Total,2024,1.774.701,29
97,Málaga,Total,2019,1.661.785,29
98,Málaga,Total,2014,1.611.983,29
99,Navarra,Total,2024,678.333,31
100,Navarra,Total,2019,654.214,31
101,Navarra,Total,2014,638.949,31
102,Ourense,Total,2024,304.467,32
103,Ourense,Total,2019,307.651,32
104,Ourense,Total,2014,325.389,32
105,Palencia,Total,2024,158.063,34
106,Palencia,Total,2019,160.980,34
107,Palencia,Total,2014,168.749,34
108,"Palmas, Las",Total,2024,1.159.890,35
109,"Palmas, Las",Total,2019,1.120.406,35
110,"Palmas, Las",Total,2014,1.098.235,35
111,Pontevedra,Total,2024,947.869,36
112,Pontevedra,Total,2019,942.665,36
113,Pontevedra,Total,2014,953.241,36
114,"Rioja, La",Total,2024,324.184,26
115,"Rioja, La",Total,2019,316.798,26
116,"Rioja, La",Total,2014,318.639,26
117,Salamanca,Total,2024,327.552,37
118,Salamanca,Total,2019,330.119,37
119,Salamanca,Total,2014, 347.249,37
120,Santa Cruz de Tenerife,Total,2024,1.078.864,38
121,Santa Cruz de Tenerife,Total,2019,1.032.983,38
122,Santa Cruz de Tenerife,Total,2014,1.006.997,38
123,Segovia,Total,2024,156.620,40
124,Segovia,Total,2019,153.129,40
125,Segovia,Total,2014, 161.374,40
126,Sevilla,Total,2024,1.968.624,41
127,Sevilla,Total,2019,1.942.389,41
128,Sevilla,Total,2014,1.936.703,41
129,Soria,Total,2024,90.073,42
130,Soria,Total,2019,88.636,42
131,Soria,Total,2014,93.575,42
132,Tarragona,Total,2024,861.744,43
133,Tarragona,Total,2019,804.664,43
134,Tarragona,Total,2014,802.806,43
135,Teruel,Total,2024,135.309,44
136,Teruel,Total,2019,134.137,44
137,Teruel,Total,2014,141.113,44
138,Toledo,Total,2024,743.165,45
139,Toledo,Total,2019,694.844,45
140,Toledo,Total,2014,703.236,45
141,Total,Total,2024,48.619.695,0
142,Total,Total,2019,47.026.208,0
143,Total,Total,2014,46.727.890,0
144,Valencia/València,Total,2024,2.710.808,46
145,Valencia/València,Total,2019,2.565.124,46
146,Valencia/València,Total,2014,2.547.044,46
147,Valladolid,Total,2024,525.116,47
148,Valladolid,Total,2019,519.546,47
149,Valladolid,Total,2014,531.141,47
150,Zamora,Total,2024,166.253,49
151,Zamora,Total,2019,172.539,49
152,Zamora,Total,2014,189.042,49
153,Zaragoza,Total,2024,987.763,50
154,Zaragoza,Total,2019,964.693,50
155,Zaragoza,Total,2014,972.508,50
156,Ávila,Total,2024,160.463,5
157,Ávila,Total,2019,157.640,5
158,Ávila,Total,2014,169.458,5
